,model,temp,freq,pres,prompts,queries_per_prompt,counter,n_terms,n_uniq,n_terms_same_redmed_seed,n_terms_other_redmed_seed,n_terms_redmed_inside,n_terms_not_seed_yes_inside,n_terms_not_seed_not_inside,n_terms_google_alone,n_terms_google_pill,n_terms_google,n_terms_not_redmed_yes_google,n_terms_not_redmed_not_google,n_uniq_same_redmed_seed,n_uniq_other_redmed_seed,n_uniq_redmed_inside,n_uniq_not_seed_yes_inside,n_uniq_not_seed_not_inside,n_uniq_google_alone,n_uniq_google_pill,n_uniq_google,n_uniq_not_redmed_yes_google,n_uniq_not_redmed_not_google,n_ungs
24,text-davinci-002,0.6,1.0,0.0,1000,1,True,1566,165,744,202,752,23,799,1224,1335,1346,617,205,27,37,32,6,132,79,96,98,71,57,70
25,text-davinci-002,1.0,1.0,0.5,1000,1,False,2225,777,474,685,501,30,1721,931,1101,1129,807,944,38,147,50,13,726,175,237,242,204,399,202
26,text-davinci-002,0.3,0.0,1.0,1000,1,True,1554,125,764,204,782,24,766,1221,1325,1344,586,204,20,33,25,6,99,62,73,74,54,45,52
27,text-davinci-002,1.0,1.0,1.0,1000,1,True,1598,354,659,250,670,22,917,1049,1180,1184,566,373,39,55,48,10,305,113,147,148,109,171,108
28,text-davinci-002,0.0,0.5,1.0,1000,1,False,2123,284,624,602,647,26,1473,1192,1417,1437,847,652,23,70,27,5,256,106,132,134,111,122,109
29,text-davinci-002,0.6,0.0,0.5,1000,1,False,2564,495,650,736,660,20,1894,1409,1618,1654,1091,823,33,121,42,10,452,153,213,213,181,219,177
30,text-davinci-002,1.0,0.0,1.0,1000,1,True,1628,379,689,266,705,30,909,1078,1211,1223,590,349,32,72,38,7,340,113,152,155,123,173,122
31,text-davinci-002,0.3,1.0,1.0,1000,1,True,1560,116,711,202,725,27,822,1225,1337,1360,656,193,23,21,28,6,87,70,80,83,60,28,60
32,text-davinci-002,0.0,0.5,0.0,1000,1,True,1615,116,753,234,774,24,838,1274,1352,1380,632,230,20,32,24,5,91,55,68,71,51,41,49
33,text-davinci-002,0.6,1.0,0.0,1000,1,False,2113,408,574,587,586,19,1520,1150,1369,1385,870,669,32,87,42,11,365,142,186,189,157,171,156
34,text-davinci-002,0.0,0.5,0.5,1000,1,True,1582,111,756,215,772,18,808,1212,1348,1361,611,215,19,30,24,6,86,53,65,68,49,37,49
35,text-davinci-002,0.0,0.0,0.0,1000,1,True,1568,108,746,204,772,26,796,1248,1338,1362,620,202,18,28,25,7,83,56,67,69,51,35,50
36,text-davinci-002,1.0,1.0,1.0,1000,1,False,2022,754,439,528,461,32,1551,906,1099,1121,810,773,43,123,61,20,691,193,256,263,220,379,216
37,text-davinci-002,0.3,0.0,0.0,1000,1,True,1576,112,762,185,778,25,789,1271,1363,1384,630,184,22,23,25,4,86,59,69,72,50,33,50
38,text-davinci-002,0.3,1.0,0.0,1000,1,True,1586,129,742,218,759,25,819,1219,1346,1358,623,221,21,36,26,6,102,61,74,76,55,48,53
39,text-davinci-002,0.6,0.0,0.5,1000,1,True,1543,165,790,206,792,15,738,1199,1307,1314,540,213,23,35,29,7,135,83,99,100,77,55,77
40,text-davinci-002,0.0,1.0,1.0,1000,1,False,1873,250,591,405,613,23,1259,1153,1380,1395,833,449,23,57,29,7,220,94,129,129,106,97,105
41,text-davinci-002,1.0,0.0,1.0,1000,1,False,2776,981,488,1007,504,22,2266,1000,1216,1257,957,1331,43,210,50,8,930,201,271,274,231,541,226
42,text-davinci-002,1.0,0.5,0.0,1000,1,True,1620,365,656,317,660,17,947,1040,1167,1178,560,404,35,75,41,7,323,110,151,153,118,179,116
43,text-davinci-002,0.3,0.5,1.0,1000,1,True,1563,112,767,209,787,26,770,1217,1335,1360,598,198,21,25,25,5,86,56,69,72,51,36,51
44,text-davinci-002,0.3,0.5,1.0,1000,1,False,2179,336,587,674,606,28,1564,1189,1403,1430,883,709,24,91,28,6,306,121,157,158,134,147,131
45,text-davinci-002,0.0,1.0,0.5,1000,1,True,1598,112,773,204,778,15,810,1238,1374,1381,614,211,20,27,24,5,87,57,67,68,48,39,48
46,text-davinci-002,0.3,1.0,0.5,1000,1,True,1604,137,724,198,736,20,860,1233,1385,1401,682,198,21,39,27,7,109,65,81,84,63,48,63
47,text-davinci-002,0.6,1.0,0.5,1000,1,False,2042,377,586,518,597,20,1436,1161,1398,1417,883,573,31,71,37,7,339,143,191,191,160,145,159
48,text-davinci-002,1.0,1.0,0.0,1000,1,True,1609,344,681,311,686,14,914,1052,1176,1191,549,379,38,70,44,7,299,110,138,140,102,171,102
49,text-davinci-002,0.0,0.0,1.0,1000,1,True,1581,113,761,218,776,15,805,1241,1336,1354,597,223,17,33,21,4,92,50,60,63,46,46,44
50,text-davinci-002,0.3,1.0,0.5,1000,1,False,1963,284,615,484,623,14,1334,1175,1391,1407,832,516,28,72,32,6,250,104,140,139,111,117,108
51,text-davinci-002,0.3,0.0,0.5,1000,1,False,2753,398,702,883,713,25,2026,1449,1697,1719,1089,962,27,114,37,11,360,125,175,168,141,178,138
52,text-davinci-002,1.0,1.0,0.0,1000,1,False,2293,838,495,607,527,40,1758,983,1231,1242,914,884,44,149,58,16,778,191,271,271,228,416,224
53,text-davinci-002,0.3,0.5,0.5,1000,1,True,1576,122,739,206,767,34,803,1223,1342,1359,622,215,19,30,26,8,95,62,73,77,58,43,56
54,text-davinci-002,0.0,1.0,0.5,1000,1,False,2049,296,599,528,623,28,1422,1162,1401,1412,853,597,23,72,28,6,267,102,136,136,113,130,110
55,text-davinci-002,1.0,0.5,0.0,1000,1,False,2740,961,513,880,543,40,2187,1067,1306,1333,995,1232,49,180,65,17,895,223,310,313,264,502,260
56,text-davinci-002,0.0,0.0,1.0,1000,1,False,2231,277,626,643,625,11,1594,1255,1470,1488,899,706,23,60,26,4,250,100,132,136,113,116,111
57,text-davinci-002,0.3,1.0,1.0,1000,1,False,1915,307,547,485,557,16,1352,1078,1293,1309,809,559,26,63,31,8,273,100,138,141,115,125,112
58,text-davinci-002,0.6,1.0,1.0,1000,1,True,1603,165,749,207,769,33,821,1249,1371,1381,639,215,22,37,30,9,134,78,98,100,78,60,78
59,text-davinci-002,0.0,1.0,1.0,1000,1,True,1585,110,721,202,731,23,841,1247,1361,1378,661,203,20,28,23,4,86,52,63,66,46,40,46
60,text-davinci-002,1.0,0.0,0.0,1000,1,False,3067,1019,601,999,621,39,2427,1321,1520,1569,1171,1295,48,197,66,20,951,248,325,329,281,512,277
61,text-davinci-002,0.0,0.5,1.0,1000,1,True,1600,105,772,206,779,21,807,1257,1370,1392,624,204,18,32,21,4,83,48,59,61,43,40,41
62,text-davinci-002,0.6,0.0,1.0,1000,1,True,1583,176,724,233,726,17,842,1188,1295,1312,603,256,28,35,33,6,142,85,99,102,74,60,73
63,text-davinci-002,1.0,0.5,0.5,1000,1,False,2494,958,483,685,494,22,1989,1024,1230,1254,960,1051,40,153,49,11,907,201,281,285,245,504,241
64,text-davinci-002,0.6,0.5,1.0,1000,1,True,1587,169,755,213,757,16,816,1219,1343,1352,606,226,24,39,29,6,139,82,100,102,78,61,77
65,text-davinci-002,0.6,0.5,1.0,1000,1,False,2240,448,570,705,579,22,1648,1121,1349,1375,872,798,36,104,41,8,404,144,193,194,158,204,154
66,text-davinci-002,0.6,0.5,0.0,1000,1,True,1592,163,778,218,782,13,801,1212,1337,1352,589,225,26,32,30,5,132,79,97,100,74,52,73
67,text-davinci-002,1.0,0.0,0.5,1000,1,False,2963,1208,507,960,528,34,2422,1097,1323,1356,1039,1417,52,279,63,13,1143,228,312,321,269,729,265
68,text-davinci-002,1.0,1.0,0.5,1000,1,True,1594,338,671,300,680,22,901,1025,1160,1164,534,389,30,62,38,10,298,113,145,146,116,156,113
69,text-davinci-002,0.3,0.0,0.5,1000,1,True,1630,128,722,246,751,32,876,1218,1353,1370,659,249,21,33,27,7,100,58,72,73,52,49,50
70,text-davinci-002,0.6,0.5,0.5,1000,1,True,1590,172,735,227,742,15,840,1196,1318,1332,609,246,27,37,33,7,138,87,101,103,76,60,76
71,text-davinci-002,0.3,0.5,0.0,1000,1,False,2505,349,596,876,618,31,1878,1324,1534,1564,1011,898,29,93,39,11,309,130,168,168,139,151,135
