,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
169,alprazolam,alprazolam,alprazolam,True,True,True
170,xanax,alprazolam,alprazolam,True,True,True
171,xanax,alprazolam,alprazolam,True,True,True
172,alpraz,alprazolam,False,False,True,True
173,alpraz,alprazolam,False,False,True,True
174,alprazol,alprazolam,False,False,True,True
175,alpraz,alprazolam,False,False,True,True
176,alprazolam,alprazolam,alprazolam,True,True,True
177,alpraz,alprazolam,False,False,True,True
178,xanor,alprazolam,alprazolam,True,True,True
179,zanex,alprazolam,False,False,False,True
180,alpraz,alprazolam,False,False,True,True
181,alprazolam,alprazolam,alprazolam,True,True,True
182,xanax,alprazolam,alprazolam,True,True,True
183,xanax,alprazolam,alprazolam,True,True,True
184,alprozolam,alprazolam,alprazolam,True,True,True
185,aplrazolam,alprazolam,alprazolam,True,False,True
186,xanax,alprazolam,alprazolam,True,True,True
187,xanaxes,alprazolam,alprazolam,True,True,True
188,xanax,alprazolam,alprazolam,True,True,True
189,alpraz,alprazolam,False,False,True,True
190,ativan,alprazolam,lorazepam,False,False,False
191,zoloft,alprazolam,sertraline,False,False,False
192,alpraz,alprazolam,False,False,True,True
193,xanax,alprazolam,alprazolam,True,True,True
194,zanex,alprazolam,False,False,False,True
195,xanax,alprazolam,alprazolam,True,True,True
196,alpraz,alprazolam,False,False,True,True
197,alprazolam,alprazolam,alprazolam,True,True,True
198,xanax,alprazolam,alprazolam,True,True,True
199,alpraz,alprazolam,False,False,True,True
200,alp,alprazolam,False,False,False,True
201,alpraz,alprazolam,False,False,True,True
202,alprazolam,alprazolam,alprazolam,True,True,True
203,alprazolan,alprazolam,alprazolam,True,True,True
204,alprazolamum,alprazolam,False,False,True,True
205,alpraz,alprazolam,False,False,True,True
206,alprazolam,alprazolam,alprazolam,True,True,True
207,ativan,alprazolam,lorazepam,False,False,False
208,alprazlam,alprazolam,False,False,True,True
209,lorazepam,alprazolam,lorazepam,False,False,False
210,clonazepam,alprazolam,clonazepam,False,False,False
211,alpraz,alprazolam,False,False,True,True
212,alprazolam,alprazolam,alprazolam,True,True,True
213,xanax,alprazolam,alprazolam,True,True,True
214,niravam,alprazolam,alprazolam,True,True,True
215,ativan,alprazolam,lorazepam,False,False,False
216,xanax,alprazolam,alprazolam,True,True,True
217,aplrazolam,alprazolam,alprazolam,True,False,True
218,alprazolan,alprazolam,alprazolam,True,True,True
219,xanax,alprazolam,alprazolam,True,True,True
220,xanax,alprazolam,alprazolam,True,True,True
221,ativan,alprazolam,lorazepam,False,False,False
222,ativan,alprazolam,lorazepam,False,False,False
223,alprazolim,alprazolam,False,False,True,True
224,alprazoluma,alprazolam,False,False,Error,Error
225,xanax,alprazolam,alprazolam,True,True,True
226,ativan,alprazolam,lorazepam,False,False,False
227,xanor,alprazolam,alprazolam,True,True,True
228,zanapam,alprazolam,False,False,True,True
229,ativan,alprazolam,lorazepam,False,False,False
230,alprazolamum,alprazolam,False,False,True,True
231,xanor,alprazolam,alprazolam,True,True,True
232,alprazolam,alprazolam,alprazolam,True,True,True
233,azanz,alprazolam,False,False,False,False
234,alprazolan,alprazolam,alprazolam,True,True,True
235,alprazolamum,alprazolam,False,False,True,True
236,xanbars,alprazolam,False,False,True,True
237,xanax,alprazolam,alprazolam,True,True,True
238,alpraz,alprazolam,False,False,True,True
239,alp,alprazolam,False,False,False,True
240,xanax,alprazolam,alprazolam,True,True,True
241,alprazolan,alprazolam,alprazolam,True,True,True
242,alprazolam,alprazolam,alprazolam,True,True,True
243,xanax,alprazolam,alprazolam,True,True,True
244,xanax,alprazolam,alprazolam,True,True,True
245,xanax,alprazolam,alprazolam,True,True,True
246,bars,alprazolam,False,False,False,True
247,alzolam,alprazolam,False,False,True,True
248,alpraz,alprazolam,False,False,True,True
249,ativan,alprazolam,lorazepam,False,False,False
250,xanax,alprazolam,alprazolam,True,True,True
251,diazepam,alprazolam,diazepam,False,False,False
252,lorazepam,alprazolam,lorazepam,False,False,False
253,xanax,alprazolam,alprazolam,True,True,True
254,alpraz,alprazolam,False,False,True,True
255,alprazolam,alprazolam,alprazolam,True,True,True
256,alprazolsm,alprazolam,False,False,True,True
257,alprazolwm,alprazolam,False,False,True,Error
258,alprozalam,alprazolam,alprazolam,True,True,True
259,alpraz,alprazolam,False,False,True,True
260,xanax,alprazolam,alprazolam,True,True,True
261,ativan,alprazolam,lorazepam,False,False,False
262,xanax,alprazolam,alprazolam,True,True,True
263,xanax,alprazolam,alprazolam,True,True,True
264,ativan,alprazolam,lorazepam,False,False,False
265,ativan,alprazolam,lorazepam,False,False,False
266,xanax,alprazolam,alprazolam,True,True,True
267,alprazolam_ER,alprazolam,False,True,True,True
268,Niravam,alprazolam,alprazolam,True,True,True
269,alzolam,alprazolam,False,False,True,True
270,alpraz,alprazolam,False,False,True,True
271,alprazolam,alprazolam,alprazolam,True,True,True
272,alpraz,alprazolam,False,False,True,True
273,alpraz,alprazolam,False,False,True,True
274,alprazolam,alprazolam,alprazolam,True,True,True
275,alprazolan,alprazolam,alprazolam,True,True,True
276,alprazolamum,alprazolam,False,False,True,True
277,alpraz,alprazolam,False,False,True,True
278,alprazolam,alprazolam,alprazolam,True,True,True
279,aplrazolam,alprazolam,alprazolam,True,False,True
280,zoloft,alprazolam,sertraline,False,False,False
281,alprazolan,alprazolam,alprazolam,True,True,True
282,alprazolane,alprazolam,False,False,True,True
283,ativan,alprazolam,lorazepam,False,False,False
284,klonopin,alprazolam,clonazepam,False,True,False
285,alprazolam,alprazolam,alprazolam,True,True,True
286,xanax,alprazolam,alprazolam,True,True,True
287,xanax,alprazolam,alprazolam,True,True,True
288,alpraz,alprazolam,False,False,True,True
289,alprazolam,alprazolam,alprazolam,True,True,True
290,xanax,alprazolam,alprazolam,True,True,True
291,zanapam,alprazolam,False,False,True,True
292,alpraz,alprazolam,False,False,True,True
293,alprazolams,alprazolam,alprazolam,True,True,True
294,alprazolams,alprazolam,alprazolam,True,True,True
295,xanax,alprazolam,alprazolam,True,True,True
296,alprazolam,alprazolam,alprazolam,True,True,True
297,alpraz,alprazolam,False,False,True,True
298,xanax,alprazolam,alprazolam,True,True,True
299,ativan,alprazolam,lorazepam,False,False,False
300,xanax,alprazolam,alprazolam,True,True,True
301,alprazolan,alprazolam,alprazolam,True,True,True
302,alprazolamum,alprazolam,False,False,True,True
303,xanax,alprazolam,alprazolam,True,True,True
304,alpraz,alprazolam,False,False,True,True
305,alprazolam,alprazolam,alprazolam,True,True,True
306,alprazolan,alprazolam,alprazolam,True,True,True
307,alprazolane,alprazolam,False,False,True,True
308,anax,alprazolam,False,False,False,True
309,bars,alprazolam,False,False,False,True
310,yellow_xanax,alprazolam,False,True,True,True
311,alprazolam,alprazolam,alprazolam,True,True,True
312,xanax,alprazolam,alprazolam,True,True,True
313,alprazolams,alprazolam,alprazolam,True,True,True
314,xanor,alprazolam,alprazolam,True,True,True
315,alpraz,alprazolam,False,False,True,True
316,xanax,alprazolam,alprazolam,True,True,True
317,alpraz,alprazolam,False,False,True,True
318,alprazolam,alprazolam,alprazolam,True,True,True
319,xanax,alprazolam,alprazolam,True,True,True
320,ativan,alprazolam,lorazepam,False,False,False
321,alprazolom,alprazolam,alprazolam,True,True,True
322,alp,alprazolam,False,False,False,True
323,tranxene,alprazolam,clorazepate,False,False,False
324,ativan,alprazolam,lorazepam,False,False,False
325,xanax,alprazolam,alprazolam,True,True,True
326,alpraz,alprazolam,False,False,True,True
327,alprazolam,alprazolam,alprazolam,True,True,True
328,xanax,alprazolam,alprazolam,True,True,True
329,valium,alprazolam,diazepam,False,False,False
330,ativan,alprazolam,lorazepam,False,False,False
331,diazepam,alprazolam,diazepam,False,False,False
332,lorazepam,alprazolam,lorazepam,False,False,False
333,alpraz,alprazolam,False,False,True,True
334,alprazolam,alprazolam,alprazolam,True,True,True
335,alprazolam,alprazolam,alprazolam,True,True,True
336,xanax_bars,alprazolam,False,True,True,True
337,xanies,alprazolam,False,False,True,True
338,alpraz,alprazolam,False,False,True,True
339,xanor,alprazolam,alprazolam,True,True,True
340,xanax,alprazolam,alprazolam,True,True,True
341,alprazolane,alprazolam,False,False,True,True
342,alprazolamum,alprazolam,False,False,True,True
343,alprazolan,alprazolam,alprazolam,True,True,True
344,alprazolane,alprazolam,False,False,True,True
345,xanax,alprazolam,alprazolam,True,True,True
346,alprazolom,alprazolam,alprazolam,True,True,True
347,ativan,alprazolam,lorazepam,False,False,False
348,alprazolans,alprazolam,False,False,True,True
349,alprazolamide,alprazolam,False,False,True,True
350,alzolam,alprazolam,False,False,True,True
351,alpraz,alprazolam,False,False,True,True
352,alprazolam,alprazolam,alprazolam,True,True,True
353,xanax,alprazolam,alprazolam,True,True,True
354,xanor,alprazolam,alprazolam,True,True,True
355,xanax,alprazolam,alprazolam,True,True,True
356,zanax,alprazolam,alprazolam,True,True,True
357,xanax,alprazolam,alprazolam,True,True,True
358,alpraz,alprazolam,False,False,True,True
359,alprazolams,alprazolam,alprazolam,True,True,True
360,alprazolam,alprazolam,alprazolam,True,True,True
361,xanax,alprazolam,alprazolam,True,True,True
362,alpraz,alprazolam,False,False,True,True
363,xanax,alprazolam,alprazolam,True,True,True
364,alpraz,alprazolam,False,False,True,True
365,alp,alprazolam,False,False,False,True
366,ativan,alprazolam,lorazepam,False,False,False
367,alpraz,alprazolam,False,False,True,True
368,xanax,alprazolam,alprazolam,True,True,True
369,xanax,alprazolam,alprazolam,True,True,True
370,alpraz,alprazolam,False,False,True,True
371,xanax,alprazolam,alprazolam,True,True,True
372,zanax,alprazolam,alprazolam,True,True,True
373,alpraz,alprazolam,False,False,True,True
374,Niravam,alprazolam,alprazolam,True,True,True
375,alpraz,alprazolam,False,False,True,True
376,valium,alprazolam,diazepam,False,False,False
377,xanax,alprazolam,alprazolam,True,True,True
378,xanax,alprazolam,alprazolam,True,True,True
379,ativan,alprazolam,lorazepam,False,False,False
380,xanax,alprazolam,alprazolam,True,True,True
381,zanapam,alprazolam,False,False,True,True
382,ativan,alprazolam,lorazepam,False,False,False
383,klonopin,alprazolam,clonazepam,False,True,False
384,xanax,alprazolam,alprazolam,True,True,True
385,xanax,alprazolam,alprazolam,True,True,True
386,alpraz,alprazolam,False,False,True,True
387,alprazolam,alprazolam,alprazolam,True,True,True
388,xanax,alprazolam,alprazolam,True,True,True
389,alpraz,alprazolam,False,False,True,True
390,alprazolam,alprazolam,alprazolam,True,True,True
391,ativan,alprazolam,lorazepam,False,False,False
392,xanax,alprazolam,alprazolam,True,True,True
393,xanax_bars,alprazolam,False,True,True,True
394,white_xanax,alprazolam,False,True,False,True
395,alprazlam,alprazolam,False,False,True,True
396,alprazolan,alprazolam,alprazolam,True,True,True
397,xanax,alprazolam,alprazolam,True,True,True
398,alprazolamum,alprazolam,False,False,True,True
399,xanax,alprazolam,alprazolam,True,True,True
400,zanaprin,alprazolam,False,False,False,False
401,alzolam,alprazolam,False,False,True,True
402,alpraz,alprazolam,False,False,True,True
403,xanax,alprazolam,alprazolam,True,True,True
404,tranxene,alprazolam,clorazepate,False,False,False
405,lorazepam,alprazolam,lorazepam,False,False,False
406,diazepam,alprazolam,diazepam,False,False,False
407,xanax,alprazolam,alprazolam,True,True,True
408,xanax,alprazolam,alprazolam,True,True,True
409,alpraz,alprazolam,False,False,True,True
410,xanaxx,alprazolam,False,False,True,True
411,alpraz,alprazolam,False,False,True,True
412,alp,alprazolam,False,False,False,True
413,alprazolum,alprazolam,False,False,True,True
414,alprazolsm,alprazolam,False,False,True,True
415,alprazoltam,alprazolam,False,False,True,True
416,alpraz,alprazolam,False,False,True,True
417,alprazolam,alprazolam,alprazolam,True,True,True
418,xanor,alprazolam,alprazolam,True,True,True
419,zanax,alprazolam,alprazolam,True,True,True
420,xanax,alprazolam,alprazolam,True,True,True
421,xanax_bars,alprazolam,False,True,True,True
422,white_xanax,alprazolam,False,True,False,True
423,bars,alprazolam,False,False,False,True
424,yellow,alprazolam,orange,False,False,False
425,alprazolan,alprazolam,alprazolam,True,True,True
426,alprazolane,alprazolam,False,False,True,True
427,xanor,alprazolam,alprazolam,True,True,True
428,alprazolam,alprazolam,alprazolam,True,True,True
429,alprazolan,alprazolam,alprazolam,True,True,True
430,alprazolame,alprazolam,False,False,True,True
431,ativan,alprazolam,lorazepam,False,False,False
432,alprazolamum,alprazolam,False,False,True,True
433,alprazolans,alprazolam,False,False,True,True
434,aprozolam,alprazolam,alprazolam,True,True,True
435,alpraz,alprazolam,False,False,True,True
436,nozolam,alprazolam,False,False,False,True
437,alzolam,alprazolam,False,False,True,True
438,xanax,alprazolam,alprazolam,True,True,True
439,ativan,alprazolam,lorazepam,False,False,False
440,alpraz,alprazolam,False,False,True,True
441,alprazolams,alprazolam,alprazolam,True,True,True
442,alpraz,alprazolam,False,False,True,True
443,alprazolam,alprazolam,alprazolam,True,True,True
444,bars,alprazolam,False,False,False,True
445,yellow,alprazolam,orange,False,False,False
446,ativan,alprazolam,lorazepam,False,False,False
447,xanax,alprazolam,alprazolam,True,True,True
448,alprazolane,alprazolam,False,False,True,True
449,alprazolanes,alprazolam,False,False,True,True
450,xanax,alprazolam,alprazolam,True,True,True
451,bars,alprazolam,False,False,False,True
452,alpraz,alprazolam,False,False,True,True
453,alprazolam,alprazolam,alprazolam,True,True,True
454,aplrazolam,alprazolam,alprazolam,True,False,True
455,xanax,alprazolam,alprazolam,True,True,True
456,alpraz,alprazolam,False,False,True,True
457,alprazolam,alprazolam,alprazolam,True,True,True
458,nozepam,alprazolam,False,False,False,False
459,alzolam,alprazolam,False,False,True,True
460,aplrazolam,alprazolam,alprazolam,True,False,True
461,zolpidem,alprazolam,zolpidem,False,False,False
462,xanax,alprazolam,alprazolam,True,True,True
463,aplrazolam,alprazolam,alprazolam,True,False,True
464,zoloft,alprazolam,sertraline,False,False,False
465,lorazepam,alprazolam,lorazepam,False,False,False
466,diazepam,alprazolam,diazepam,False,False,False
467,xanor,alprazolam,alprazolam,True,True,True
468,alpraz,alprazolam,False,False,True,True
469,xanor,alprazolam,alprazolam,True,True,True
470,seren,alprazolam,False,False,False,False
471,xanax,alprazolam,alprazolam,True,True,True
472,xanax,alprazolam,alprazolam,True,True,True
473,alpraz,alprazolam,False,False,True,True
474,alprazolame,alprazolam,False,False,True,True
475,xanax,alprazolam,alprazolam,True,True,True
476,xanax,alprazolam,alprazolam,True,True,True
477,zanex,alprazolam,False,False,False,True
478,xanax,alprazolam,alprazolam,True,True,True
479,alpraz,alprazolam,False,False,True,True
480,alprazolsm,alprazolam,False,False,True,True
481,alprazolum,alprazolam,False,False,True,True
482,alprazolom,alprazolam,alprazolam,True,True,True
483,alprazolum,alprazolam,False,False,True,True
484,alpraz,alprazolam,False,False,True,True
485,alprazolam,alprazolam,alprazolam,True,True,True
486,xanax,alprazolam,alprazolam,True,True,True
487,alpraz,alprazolam,False,False,True,True
488,alpraz,alprazolam,False,False,True,True
489,alp,alprazolam,False,False,False,True
490,alprazolane,alprazolam,False,False,True,True
491,alprazolamum,alprazolam,False,False,True,True
492,alpraz,alprazolam,False,False,True,True
493,alprazolam,alprazolam,alprazolam,True,True,True
494,xanies,alprazolam,False,False,True,True
495,xans,alprazolam,alprazolam,True,False,True
496,alprazolan,alprazolam,alprazolam,True,True,True
497,alprazolsm,alprazolam,False,False,True,True
498,alprazolsm,alprazolam,False,False,True,True
499,xanax,alprazolam,alprazolam,True,True,True
500,alprazolams,alprazolam,alprazolam,True,True,True
501,azipro,alprazolam,False,False,False,False
502,alpraz,alprazolam,False,False,True,True
503,aplrazolam,alprazolam,alprazolam,True,False,True
504,alprazolan,alprazolam,alprazolam,True,True,True
505,ativan,alprazolam,lorazepam,False,False,False
506,alprazlam,alprazolam,False,False,True,True
507,alprazolan,alprazolam,alprazolam,True,True,True
508,alprazolane,alprazolam,False,False,True,True
509,alprazolamum,alprazolam,False,False,True,True
510,tafil,alprazolam,alprazolam,True,True,True
511,alpzolam,alprazolam,False,False,True,True
512,aplrazolam,alprazolam,alprazolam,True,False,True
513,alfazolam,alprazolam,False,False,True,True
514,alprazalam,alprazolam,alprazolam,True,True,True
515,alpraz,alprazolam,False,False,True,True
516,alprazolam,alprazolam,alprazolam,True,True,True
517,zanax,alprazolam,alprazolam,True,True,True
518,aplrazolam,alprazolam,alprazolam,True,False,True
519,xanax,alprazolam,alprazolam,True,True,True
520,alpraz,alprazolam,False,False,True,True
521,xanax,alprazolam,alprazolam,True,True,True
522,alpraz,alprazolam,False,False,True,True
523,alp,alprazolam,False,False,False,True
524,xanax_bars,alprazolam,False,True,True,True
525,xanax_pills,alprazolam,False,True,True,False
526,xanax,alprazolam,alprazolam,True,True,True
527,bars,alprazolam,False,False,False,True
528,alpraz,alprazolam,False,False,True,True
529,alprazolam,alprazolam,alprazolam,True,True,True
530,alpzolam,alprazolam,False,False,True,True
531,aplrazolam,alprazolam,alprazolam,True,False,True
532,alzolam,alprazolam,False,False,True,True
533,neupax,alprazolam,False,False,True,True
534,tranq,alprazolam,False,False,False,True
535,ativan,alprazolam,lorazepam,False,False,False
536,azipro,alprazolam,False,False,False,False
537,alpraz,alprazolam,False,False,True,True
538,xanax,alprazolam,alprazolam,True,True,True
539,xanax,alprazolam,alprazolam,True,True,True
540,alpraz,alprazolam,False,False,True,True
541,aplrazolam,alprazolam,alprazolam,True,False,True
542,zoloft,alprazolam,sertraline,False,False,False
543,alpraz,alprazolam,False,False,True,True
544,alprazolam,alprazolam,alprazolam,True,True,True
545,xanax,alprazolam,alprazolam,True,True,True
546,alpraz,alprazolam,False,False,True,True
547,alprazolam,alprazolam,alprazolam,True,True,True
548,xanax,alprazolam,alprazolam,True,True,True
549,xanax,alprazolam,alprazolam,True,True,True
550,alpraz,alprazolam,False,False,True,True
551,alpraz,alprazolam,False,False,True,True
552,alprazolam,alprazolam,alprazolam,True,True,True
553,xanax,alprazolam,alprazolam,True,True,True
554,xanor,alprazolam,alprazolam,True,True,True
555,alpraz,alprazolam,False,False,True,True
556,alprazolamum,alprazolam,False,False,True,True
557,alprazolan,alprazolam,alprazolam,True,True,True
558,alpraz,alprazolam,False,False,True,True
559,alprazolam,alprazolam,alprazolam,True,True,True
560,azolam,alprazolam,acetazolamide,False,True,True
561,xanax,alprazolam,alprazolam,True,True,True
562,tofranil,alprazolam,imipramine,False,False,False
563,anafranil,alprazolam,clomipramine,False,False,False
564,alpraz,alprazolam,False,False,True,True
565,alprazolam,alprazolam,alprazolam,True,True,True
566,xanax,alprazolam,alprazolam,True,True,True
567,xanax,alprazolam,alprazolam,True,True,True
568,alprazolan,alprazolam,alprazolam,True,True,True
569,alprazolam,alprazolam,alprazolam,True,True,True
570,alpraz,alprazolam,False,False,True,True
571,alprazolame,alprazolam,False,False,True,True
572,xanor,alprazolam,alprazolam,True,True,True
573,alpraz,alprazolam,False,False,True,True
574,xanax,alprazolam,alprazolam,True,True,True
575,alprazolan,alprazolam,alprazolam,True,True,True
576,alprazolum,alprazolam,False,False,True,True
577,alpraz,alprazolam,False,False,True,True
578,xanor,alprazolam,alprazolam,True,True,True
579,alpraz,alprazolam,False,False,True,True
580,alprazolam,alprazolam,alprazolam,True,True,True
581,xanor,alprazolam,alprazolam,True,True,True
582,alprax,alprazolam,alprazolam,False,True,True
583,niravam,alprazolam,alprazolam,True,True,True
584,ativan,alprazolam,lorazepam,False,False,False
585,alzolam,alprazolam,False,False,True,True
586,alpraz,alprazolam,False,False,True,True
587,alprazolan,alprazolam,alprazolam,True,True,True
588,alprazolamum,alprazolam,False,False,True,True
589,alpraz,alprazolam,False,False,True,True
590,xanax,alprazolam,alprazolam,True,True,True
591,alpraz,alprazolam,False,False,True,True
