,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,GPT-3 term + pill in Google
127,zanies,alprazolam,False,False,False,True
128,tranks,alprazolam,False,False,False,False
129,alprozalam,alprazolam,alprazolam,True,True,True
130,alprozolam,alprazolam,alprazolam,True,True,True
131,azolam,alprazolam,acetazolamide,False,True,True
132,zopax,alprazolam,False,False,True,True
133,xanax,alprazolam,alprazolam,True,True,True
134,xanor,alprazolam,alprazolam,True,True,True
135,niravam,alprazolam,alprazolam,True,True,True
136,ativan,alprazolam,lorazepam,False,False,False
137,klonopin,alprazolam,clonazepam,False,True,False
138,valium,alprazolam,diazepam,False,False,False
139,librium,alprazolam,chlordiazepoxide,False,False,False
140,tranxene,alprazolam,clorazepate,False,False,False
141,alpraz,alprazolam,False,False,True,True
142,zanax,alprazolam,alprazolam,True,True,True
143,xanax,alprazolam,alprazolam,True,True,True
144,ativan,alprazolam,lorazepam,False,False,False
145,klonopin,alprazolam,clonazepam,False,True,False
146,valium,alprazolam,diazepam,False,False,False
147,lorazepam,alprazolam,lorazepam,False,False,False
148,ativan,alprazolam,lorazepam,False,False,False
149,klonopin,alprazolam,clonazepam,False,True,False
150,valium,alprazolam,diazepam,False,False,False
151,alzapam,alprazolam,False,False,True,True
152,anzam,alprazolam,False,False,False,False
153,apo-alpraz,alprazolam,False,False,True,True
154,apo-lorazepam,alprazolam,False,False,False,False
155,ativan,alprazolam,lorazepam,False,False,False
156,alpraz,alprazolam,False,False,True,True
157,alzolam,alprazolam,False,False,True,True
158,xanax_bars,alprazolam,False,True,True,True
159,white_xanax,alprazolam,False,True,False,True
160,bars,alprazolam,False,False,False,True
161,aplrazolam,alprazolam,alprazolam,True,False,True
162,xanax,alprazolam,alprazolam,True,True,True
163,alprazolom,alprazolam,alprazolam,True,True,True
164,alprazolume,alprazolam,False,False,Error,Error
165,alprazolamum,alprazolam,False,False,True,True
166,alprazolams,alprazolam,alprazolam,True,True,True
167,z-bars,alprazolam,False,False,True,True
168,blue_footballs,alprazolam,False,False,True,True
169,bars,alprazolam,False,False,False,True
170,yellow_xanax,alprazolam,False,True,True,True
171,green_xanax,alprazolam,False,True,False,False
172,xanax,alprazolam,alprazolam,True,True,True
173,ativan,alprazolam,lorazepam,False,False,False
174,zanax,alprazolam,alprazolam,True,True,True
175,zoloft,alprazolam,sertraline,False,False,False
176,paxil,alprazolam,paroxetine,False,False,False
177,ativan,alprazolam,lorazepam,False,False,False
178,klonopin,alprazolam,clonazepam,False,True,False
179,valium,alprazolam,diazepam,False,False,False
180,ambien,alprazolam,zolpidem,False,False,False
181,xanex,alprazolam,alprazolam,True,False,True
182,zanax,alprazolam,alprazolam,True,True,True
183,alprazolan,alprazolam,alprazolam,True,True,True
184,azopral,alprazolam,False,False,False,False
185,neupax,alprazolam,False,False,True,True
186,ipolam,alprazolam,False,False,False,False
187,alpralid,alprazolam,False,False,True,True
188,alpraziom,alprazolam,False,False,Error,Error
189,alprasolam,alprazolam,False,False,False,True
190,alprazils,alprazolam,False,False,Error,False
191,alprazims,alprazolam,False,False,Error,True
192,zolofts,alprazolam,sertraline,False,False,False
193,aalprazolam,alprazolam,False,False,True,True
194,alprazolamm,alprazolam,False,False,True,True
195,alpraz,alprazolam,False,False,True,True
196,alprazolamum,alprazolam,False,False,True,True
197,alprazolano,alprazolam,False,False,True,True
198,alpazolam,alprazolam,alprazolam,True,True,True
199,alprasolam,alprazolam,False,False,False,True
200,a-praz,alprazolam,False,False,False,True
201,alpraz,alprazolam,False,False,True,True
202,alpraz,alprazolam,False,False,True,True
203,azolam,alprazolam,acetazolamide,False,True,True
204,alprazolom,alprazolam,alprazolam,True,True,True
205,alprazz,alprazolam,False,False,True,True
206,alprazolan,alprazolam,alprazolam,True,True,True
207,xanax,alprazolam,alprazolam,True,True,True
208,alprazlam,alprazolam,False,False,True,True
209,alprazloam,alprazolam,False,False,True,True
210,alprazom,alprazolam,False,False,True,True
211,alprazolan,alprazolam,alprazolam,True,True,True
212,alprazolum,alprazolam,False,False,True,True
213,xanax,alprazolam,alprazolam,True,True,True
214,zanex,alprazolam,False,False,False,True
215,xanbars,alprazolam,False,False,True,True
216,xans,alprazolam,alprazolam,True,False,True
217,anxiety_medication,alprazolam,False,False,False,False
218,anti-anxiety_medication,alprazolam,False,False,False,False
219,zanax,alprazolam,alprazolam,True,True,True
220,z-bars,alprazolam,False,False,True,True
221,blue_footballs,alprazolam,False,False,True,True
222,bars,alprazolam,False,False,False,True
223,xan-ax,alprazolam,False,False,True,True
224,zan-x,alprazolam,False,False,False,False
225,alpraz,alprazolam,False,False,True,True
226,azolam,alprazolam,acetazolamide,False,True,True
227,zoloft,alprazolam,sertraline,False,False,False
228,zanapam,alprazolam,False,False,True,True
229,zopax,alprazolam,False,False,True,True
230,xanax,alprazolam,alprazolam,True,True,True
231,ativan,alprazolam,lorazepam,False,False,False
232,alpraz,alprazolam,False,False,True,True
233,xanax,alprazolam,alprazolam,True,True,True
234,xanor,alprazolam,alprazolam,True,True,True
235,alpraz,alprazolam,False,False,True,True
236,zolam,alprazolam,False,False,True,True
237,ativan,alprazolam,lorazepam,False,False,False
238,xanax,alprazolam,alprazolam,True,True,True
239,alprozalom,alprazolam,False,False,True,True
240,alprazalam,alprazolam,alprazolam,True,True,True
241,alprazolamum,alprazolam,False,False,True,True
242,alprazolan,alprazolam,alprazolam,True,True,True
243,alyprazolam,alprazolam,False,False,Error,Error
244,alprazolan,alprazolam,alprazolam,True,True,True
245,alprazolane,alprazolam,False,False,True,True
246,alprazolano,alprazolam,False,False,True,True
247,lorazepam,alprazolam,lorazepam,False,False,False
248,ativan,alprazolam,lorazepam,False,False,False
249,alprazalan,alprazolam,False,False,True,True
250,alprazolan,alprazolam,alprazolam,True,True,True
251,alprazolane,alprazolam,False,False,True,True
252,ativan,alprazolam,lorazepam,False,False,False
253,aplrazolam,alprazolam,alprazolam,True,False,True
254,xanax,alprazolam,alprazolam,True,True,True
255,zanex,alprazolam,False,False,False,True
256,oxazepam,alprazolam,oxazepam,False,False,False
257,lorazepam,alprazolam,lorazepam,False,False,False
258,zanaplex,alprazolam,False,False,False,False
259,alpraz,alprazolam,False,False,True,True
260,z-bars,alprazolam,False,False,True,True
261,bars,alprazolam,False,False,False,True
262,alprazolom,alprazolam,alprazolam,True,True,True
263,alprazolum,alprazolam,False,False,True,True
264,zanamivir,alprazolam,zanamivir,False,False,False
265,azepam,alprazolam,oxazepam,False,False,False
266,xaqqx,alprazolam,False,False,False,Error
267,xarax,alprazolam,False,False,False,True
268,xasix,alprazolam,False,False,False,False
269,xatax,alprazolam,False,False,False,Error
270,xauux,alprazolam,False,False,False,Error
271,xavax,alprazolam,False,False,False,False
272,xawwx,alprazolam,False,False,False,Error
273,zanex,alprazolam,False,False,False,True
274,zoloft,alprazolam,sertraline,False,False,False
275,serenit,alprazolam,False,False,False,False
276,serax,alprazolam,oxazepam,False,False,False
277,zanex,alprazolam,False,False,False,True
278,aplrazolam,alprazolam,alprazolam,True,False,True
279,zanax,alprazolam,alprazolam,True,True,True
280,zanex,alprazolam,False,False,False,True
281,zoloft,alprazolam,sertraline,False,False,False
282,paxal,alprazolam,benfluorex,False,False,False
283,alprozalam,alprazolam,alprazolam,True,True,True
284,zanex,alprazolam,False,False,False,True
285,alpraz,alprazolam,False,False,True,True
286,alprazolam,alprazolam,alprazolam,True,True,True
287,zanapam,alprazolam,False,False,True,True
288,alpram,alprazolam,False,False,True,True
289,alpraz,alprazolam,False,False,True,True
290,alprazolom,alprazolam,alprazolam,True,True,True
291,zolam,alprazolam,False,False,True,True
292,zolofts,alprazolam,sertraline,False,False,False
293,alprozalam,alprazolam,alprazolam,True,True,True
294,alprazalam,alprazolam,alprazolam,True,True,True
295,xanax,alprazolam,alprazolam,True,True,True
296,alprzolam,alprazolam,alprazolam,True,True,True
297,tranquinal,alprazolam,False,False,True,True
298,xanax,alprazolam,alprazolam,True,True,True
299,alpraz,alprazolam,False,False,True,True
300,alprazolam,alprazolam,alprazolam,True,True,True
301,zanax,alprazolam,alprazolam,True,True,True
302,alprazolan,alprazolam,alprazolam,True,True,True
303,alzolam,alprazolam,False,False,True,True
304,zolam,alprazolam,False,False,True,True
305,alpraz,alprazolam,False,False,True,True
306,alprazolame,alprazolam,False,False,True,True
307,alprazolan,alprazolam,alprazolam,True,True,True
308,alprazolams,alprazolam,alprazolam,True,True,True
309,trankimazin,alprazolam,False,False,True,True
310,iprazolam,alprazolam,False,False,True,True
311,zanex,alprazolam,False,False,False,True
312,aplrazolam,alprazolam,alprazolam,True,False,True
313,alprax,alprazolam,alprazolam,False,True,True
314,alpazolam,alprazolam,alprazolam,True,True,True
315,xanx,alprazolam,alprazolam,True,False,True
316,alpraz,alprazolam,False,False,True,True
317,alpra,alprazolam,estradiol,False,True,True
318,alpz,alprazolam,False,False,False,True
319,arazolam,alprazolam,False,False,True,True
320,alpraz,alprazolam,False,False,True,True
321,xanax,alprazolam,alprazolam,True,True,True
322,alprazloam,alprazolam,False,False,True,True
323,alprazoalm,alprazolam,False,False,True,True
324,xanax,alprazolam,alprazolam,True,True,True
325,xanor,alprazolam,alprazolam,True,True,True
326,irazem,alprazolam,False,False,False,False
327,ativan,alprazolam,lorazepam,False,False,False
328,alprazolam,alprazolam,alprazolam,True,True,True
329,zanex,alprazolam,False,False,False,True
330,zolam,alprazolam,False,False,True,True
331,tranxene,alprazolam,clorazepate,False,False,False
332,ativan,alprazolam,lorazepam,False,False,False
333,klonopin,alprazolam,clonazepam,False,True,False
334,valium,alprazolam,diazepam,False,False,False
335,zoloft,alprazolam,sertraline,False,False,False
336,ativan,alprazolam,lorazepam,False,False,False
337,xanax,alprazolam,alprazolam,True,True,True
338,zanapam,alprazolam,False,False,True,True
339,prazolam,alprazolam,alprazolam,True,True,True
340,alprazolams,alprazolam,alprazolam,True,True,True
341,alprazolom,alprazolam,alprazolam,True,True,True
342,xanax,alprazolam,alprazolam,True,True,True
343,xanthus,alprazolam,False,False,False,False
344,xanthous,alprazolam,False,False,False,False
345,xanthoxylon,alprazolam,False,False,False,False
346,xanthoxyle,alprazolam,False,False,False,False
347,xans,alprazolam,alprazolam,True,False,True
348,xanz,alprazolam,albendazole,False,False,True
349,xanzy,alprazolam,False,False,False,False
350,xanex,alprazolam,alprazolam,True,False,True
351,xaney,alprazolam,False,False,False,True
352,zanax,alprazolam,alprazolam,True,True,True
353,alpraz,alprazolam,False,False,True,True
354,zanaplex,alprazolam,False,False,False,False
355,alzolam,alprazolam,False,False,True,True
356,iprazo,alprazolam,False,False,False,False
357,prazolan,alprazolam,False,False,False,True
358,opipramol,alprazolam,opipramol,False,False,False
359,xanor,alprazolam,alprazolam,True,True,True
360,iproxolam,alprazolam,False,False,Error,Error
361,serenax,alprazolam,False,False,False,False
362,frontal,alprazolam,False,False,False,False
363,neupax,alprazolam,False,False,True,True
364,casacade,alprazolam,False,False,False,False
365,alprazalam,alprazolam,alprazolam,True,True,True
366,alprazolan,alprazolam,alprazolam,True,True,True
367,alprazolane,alprazolam,False,False,True,True
368,alprazolans,alprazolam,False,False,True,True
369,alprazolum,alprazolam,False,False,True,True
370,zanex,alprazolam,False,False,False,True
371,axoren,alprazolam,False,False,False,False
372,nexazolam,alprazolam,False,False,False,False
373,sertraline,alprazolam,sertraline,False,False,False
374,zoloft,alprazolam,sertraline,False,False,False
375,ativan,alprazolam,lorazepam,False,False,False
376,alprozalam,alprazolam,alprazolam,True,True,True
377,alyprazolam,alprazolam,False,False,Error,Error
378,alpax,alprazolam,alprazolam,True,True,True
379,tranquillisers,alprazolam,False,False,False,False
380,alprazolam_tablets,alprazolam,False,True,True,True
381,anti-anxiety_medication,alprazolam,False,False,False,False
382,zanex,alprazolam,False,False,False,True
383,xanax,alprazolam,alprazolam,True,True,True
384,alprazom,alprazolam,False,False,True,True
385,alprazlam,alprazolam,False,False,True,True
386,alprazolan,alprazolam,alprazolam,True,True,True
387,alprazolama,alprazolam,False,False,True,True
388,alprazolame,alprazolam,False,False,True,True
389,alprazolami,alprazolam,False,False,True,True
390,alprazolamo,alprazolam,False,False,True,True
391,alprazolans,alprazolam,False,False,True,True
392,alprazolams,alprazolam,alprazolam,True,True,True
393,alprazlam,alprazolam,False,False,True,True
394,alprazolan,alprazolam,alprazolam,True,True,True
395,alprazolamox,alprazolam,False,False,True,True
396,ativan,alprazolam,lorazepam,False,False,False
397,alprazolamum,alprazolam,False,False,True,True
398,alprazolans,alprazolam,False,False,True,True
399,alprazolan,alprazolam,alprazolam,True,True,True
400,alprazolum,alprazolam,False,False,True,True
401,zanex,alprazolam,False,False,False,True
402,xanax,alprazolam,alprazolam,True,True,True
403,alprazolom,alprazolam,alprazolam,True,True,True
404,alprazolum,alprazolam,False,False,True,True
405,zanapam,alprazolam,False,False,True,True
406,alprazolan,alprazolam,alprazolam,True,True,True
407,alprazolamum,alprazolam,False,False,True,True
408,xanax,alprazolam,alprazolam,True,True,True
409,zanax,alprazolam,alprazolam,True,True,True
410,tafil,alprazolam,alprazolam,True,True,True
411,zopax,alprazolam,False,False,True,True
412,alprazoram,alprazolam,False,False,True,True
413,alprazolan,alprazolam,alprazolam,True,True,True
414,alprazolom,alprazolam,alprazolam,True,True,True
415,alprazolum,alprazolam,False,False,True,True
416,zanex,alprazolam,False,False,False,True
417,xanax,alprazolam,alprazolam,True,True,True
418,xanax,alprazolam,alprazolam,True,True,True
419,alprazoim,alprazolam,False,False,Error,Error
420,alprazolmi,alprazolam,False,False,Error,Error
421,alprazolan,alprazolam,alprazolam,True,True,True
422,alprozolam,alprazolam,alprazolam,True,True,True
423,alpraz,alprazolam,False,False,True,True
424,alprazolamum,alprazolam,False,False,True,True
425,alpraz,alprazolam,False,False,True,True
426,alpram,alprazolam,False,False,True,True
427,alprolazam,alprazolam,False,False,True,True
428,alprozalam,alprazolam,alprazolam,True,True,True
429,xanor,alprazolam,alprazolam,True,True,True
430,zoloft,alprazolam,sertraline,False,False,False
431,zanex,alprazolam,False,False,False,True
432,alprazolan,alprazolam,alprazolam,True,True,True
433,alprazom,alprazolam,False,False,True,True
434,alprazlom,alprazolam,False,False,True,True
435,alprazamum,alprazolam,False,False,True,True
436,xanax,alprazolam,alprazolam,True,True,True
437,alprazolam,alprazolam,alprazolam,True,True,True
438,zanapam,alprazolam,False,False,True,True
439,xanax,alprazolam,alprazolam,True,True,True
440,z-bars,alprazolam,False,False,True,True
441,xanax,alprazolam,alprazolam,True,True,True
442,zanex,alprazolam,False,False,False,True
443,ativan,alprazolam,lorazepam,False,False,False
444,alprazalam,alprazolam,alprazolam,True,True,True
445,alprazolan,alprazolam,alprazolam,True,True,True
446,alprazolom,alprazolam,alprazolam,True,True,True
447,alprazolum,alprazolam,False,False,True,True
448,alprazolame,alprazolam,False,False,True,True
449,alprazolamum,alprazolam,False,False,True,True
450,xanor,alprazolam,alprazolam,True,True,True
451,iprazolam,alprazolam,False,False,True,True
452,alprazolan,alprazolam,alprazolam,True,True,True
453,alprazolane,alprazolam,False,False,True,True
454,alprazolamum,alprazolam,False,False,True,True
455,xanax,alprazolam,alprazolam,True,True,True
456,bars,alprazolam,False,False,False,True
457,white_xanax,alprazolam,False,True,False,True
458,yellow_xanax,alprazolam,False,True,True,True
459,green_xanax,alprazolam,False,True,False,False
460,blue_xanax,alprazolam,False,True,True,True
461,ativan,alprazolam,lorazepam,False,False,False
462,xanax,alprazolam,alprazolam,True,True,True
463,xanax,alprazolam,alprazolam,True,True,True
464,zanex,alprazolam,False,False,False,True
465,zoloft,alprazolam,sertraline,False,False,False
466,xanax,alprazolam,alprazolam,True,True,True
467,xanor,alprazolam,alprazolam,True,True,True
468,zolam,alprazolam,False,False,True,True
469,tranxene,alprazolam,clorazepate,False,False,False
470,librium,alprazolam,chlordiazepoxide,False,False,False
471,valium,alprazolam,diazepam,False,False,False
472,ativan,alprazolam,lorazepam,False,False,False
473,serax,alprazolam,oxazepam,False,False,False
474,buspar,alprazolam,buspirone,False,False,False
475,klonopin,alprazolam,clonazepam,False,True,False
476,xanax,alprazolam,alprazolam,True,True,True
477,alprazolom,alprazolam,alprazolam,True,True,True
478,alprazolame,alprazolam,False,False,True,True
479,xanax,alprazolam,alprazolam,True,True,True
480,zolofts,alprazolam,sertraline,False,False,False
481,zanex,alprazolam,False,False,False,True
482,zanax,alprazolam,alprazolam,True,True,True
483,zanapam,alprazolam,False,False,True,True
484,neupax,alprazolam,False,False,True,True
485,xanax,alprazolam,alprazolam,True,True,True
486,zoldac,alprazolam,False,False,False,False
487,ativan,alprazolam,lorazepam,False,False,False
488,alprazolom,alprazolam,alprazolam,True,True,True
489,alprazolon,alprazolam,False,False,True,True
490,alprazolum,alprazolam,False,False,True,True
491,alprazolame,alprazolam,False,False,True,True
492,alprazolan,alprazolam,alprazolam,True,True,True
493,alprazolane,alprazolam,False,False,True,True
494,ativan,alprazolam,lorazepam,False,False,False
495,xanor,alprazolam,alprazolam,True,True,True
496,serena,alprazolam,False,False,False,False
497,oxazepam,alprazolam,oxazepam,False,False,False
498,lorazepam,alprazolam,lorazepam,False,False,False
499,temazepam,alprazolam,temazepam,False,False,False
500,alprazolan,alprazolam,alprazolam,True,True,True
501,alprazolane,alprazolam,False,False,True,True
502,alprazolano,alprazolam,False,False,True,True
503,tranxene,alprazolam,clorazepate,False,False,False
504,xanax,alprazolam,alprazolam,True,True,True
505,alylprozalam,alprazolam,False,False,Error,Error
506,alprazolan,alprazolam,alprazolam,True,True,True
507,alprazolane,alprazolam,False,False,True,True
508,alprazolamum,alprazolam,False,False,True,True
509,alprazolene,alprazolam,False,False,Error,Error
510,alprazolone,alprazolam,False,False,True,True
511,zanax,alprazolam,alprazolam,True,True,True
512,ativan,alprazolam,lorazepam,False,False,False
513,zanies,alprazolam,False,False,False,True
514,ativan,alprazolam,lorazepam,False,False,False
515,valium,alprazolam,diazepam,False,False,False
516,klonopin,alprazolam,clonazepam,False,True,False
517,librium,alprazolam,chlordiazepoxide,False,False,False
518,tranxene,alprazolam,clorazepate,False,False,False
519,serax,alprazolam,oxazepam,False,False,False
520,zanex,alprazolam,False,False,False,True
521,alprazolma,alprazolam,False,False,True,True
522,alprazom,alprazolam,False,False,True,True
523,alprazolan,alprazolam,alprazolam,True,True,True
524,alprazolum,alprazolam,False,False,True,True
525,ativan,alprazolam,lorazepam,False,False,False
526,zanex,alprazolam,False,False,False,True
527,zans,alprazolam,False,False,False,False
528,azepam,alprazolam,oxazepam,False,False,False
529,alprazolom,alprazolam,alprazolam,True,True,True
530,ativan,alprazolam,lorazepam,False,False,False
531,zanapam,alprazolam,False,False,True,True
532,alprazolamum,alprazolam,False,False,True,True
533,ativan,alprazolam,lorazepam,False,False,False
534,klonopin,alprazolam,clonazepam,False,True,False
535,valium,alprazolam,diazepam,False,False,False
536,lorazepam,alprazolam,lorazepam,False,False,False
537,clonazepam,alprazolam,clonazepam,False,False,False
538,diazepam,alprazolam,diazepam,False,False,False
539,aplrazolam,alprazolam,alprazolam,True,False,True
540,alprozalam,alprazolam,alprazolam,True,True,True
541,zanapam,alprazolam,False,False,True,True
542,axoren,alprazolam,False,False,False,False
543,nexazolam,alprazolam,False,False,False,False
544,calmpose,alprazolam,False,False,False,False
545,alzolam,alprazolam,False,False,True,True
546,zanapam,alprazolam,False,False,True,True
547,zoloft,alprazolam,sertraline,False,False,False
548,ativan,alprazolam,lorazepam,False,False,False
549,lorazepam,alprazolam,lorazepam,False,False,False
550,klonopin,alprazolam,clonazepam,False,True,False
551,valium,alprazolam,diazepam,False,False,False
552,zoloft,alprazolam,sertraline,False,False,False
553,prozac,alprazolam,fluoxetine,False,False,False
554,xanax,alprazolam,alprazolam,True,True,True
555,ativan,alprazolam,lorazepam,False,False,False
556,cet,alprazolam,cefalotin,False,False,False
557,alpraz,alprazolam,False,False,True,True
558,alp,alprazolam,False,False,False,True
559,zan,alprazolam,False,False,False,True
560,alpraz,alprazolam,False,False,True,True
561,alprazolan,alprazolam,alprazolam,True,True,True
562,trankimazin,alprazolam,False,False,True,True
563,neupax,alprazolam,False,False,True,True
564,zoloft,alprazolam,sertraline,False,False,False
565,paxil,alprazolam,paroxetine,False,False,False
566,prozac,alprazolam,fluoxetine,False,False,False
567,lexapro,alprazolam,escitalopram,False,False,False
568,cymbalta,alprazolam,duloxetine,False,False,False
569,effexor,alprazolam,venlafaxine,False,False,False
570,wellbutrin,alprazolam,bupropion,False,False,False
571,alpram,alprazolam,False,False,True,True
572,alprazolan,alprazolam,alprazolam,True,True,True
573,alprazolame,alprazolam,False,False,True,True
574,alprazolami,alprazolam,False,False,True,True
575,alprazolamu,alprazolam,False,False,True,True
576,alprazolamum,alprazolam,False,False,True,True
577,zanax,alprazolam,alprazolam,True,True,True
578,alpraz,alprazolam,False,False,True,True
579,alprazolomi,alprazolam,False,False,Error,Error
580,zopax,alprazolam,False,False,True,True
581,zanex,alprazolam,False,False,False,True
582,triazolam,alprazolam,triazolam,False,False,False
583,zanex,alprazolam,False,False,False,True
584,ativan,alprazolam,lorazepam,False,False,False
585,xanor,alprazolam,alprazolam,True,True,True
586,alpraz,alprazolam,False,False,True,True
587,alprazolamum,alprazolam,False,False,True,True
588,zoloft,alprazolam,sertraline,False,False,False
589,paxil,alprazolam,paroxetine,False,False,False
590,prozac,alprazolam,fluoxetine,False,False,False
591,buspar,alprazolam,buspirone,False,False,False
592,xanax,alprazolam,alprazolam,True,True,True
593,lorazepam,alprazolam,lorazepam,False,False,False
594,ativan,alprazolam,lorazepam,False,False,False
595,xanax,alprazolam,alprazolam,True,True,True
596,z-bars,alprazolam,False,False,True,True
597,xanax,alprazolam,alprazolam,True,True,True
598,zolam,alprazolam,False,False,True,True
599,prazolam,alprazolam,alprazolam,True,True,True
