,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
65,dexamphetamine,amphetamine,dextroamphetamine,False,True,
66,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
67,beat,amphetamine,False,False,False,
68,bennies,amphetamine,False,False,True,
69,black_beauties,amphetamine,False,False,True,
70,coke,amphetamine,False,False,False,
71,crack,amphetamine,False,False,False,
72,crystal,amphetamine,False,False,True,
73,dexies,amphetamine,dextroamphetamine,False,False,
74,diet_pills,amphetamine,False,False,False,
75,dime,amphetamine,False,False,False,
76,etc,amphetamine,False,False,False,
77,dexedrine,amphetamine,dextroamphetamine,False,True,
78,speed,amphetamine,False,False,False,
79,amfetamine,amphetamine,amphetamine,True,True,
80,stimulant,amphetamine,False,False,False,
81,adderall,amphetamine,amphetamine,True,True,
82,amphetamines,amphetamine,dextroamphetamine,False,True,
83,ampheredine,amphetamine,False,False,False,
84,amphetimine,amphetamine,amphetamine,True,True,
85,amfetamin,amphetamine,amphetamine,True,True,
86,adhd_medication,amphetamine,False,False,False,
87,speed,amphetamine,False,False,False,
88,methamphetamine,amphetamine,methamphetamine,False,False,
89,dexedrine,amphetamine,dextroamphetamine,False,True,
90,amphetaminil,amphetamine,False,False,True,
91,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
92,vyvanse,amphetamine,lisdexamfetamine,False,False,
93,adderall,amphetamine,amphetamine,True,True,
94,amplival,amphetamine,False,False,False,
95,fantasmogen,amphetamine,False,False,False,
96,hypermetrope,amphetamine,False,False,False,
97,supersonic,amphetamine,False,False,False,
98,tyraminol,amphetamine,False,False,False,
99,phenethylamine,amphetamine,phenethylamine,False,True,
100,amphetamin,amphetamine,amphetamine,True,True,
101,d-amphetamine,amphetamine,False,False,True,
102,desoxyephedrine,amphetamine,methamphetamine,False,False,
103,metamphetamine,amphetamine,methamphetamine,False,True,
104,methamphetamine,amphetamine,methamphetamine,False,False,
105,phenylamphetamine,amphetamine,False,False,False,
106,speed,amphetamine,False,False,False,
107,ampetamine,amphetamine,amphetamine,True,True,
108,amphetsmine,amphetamine,False,False,True,
109,dexedrine,amphetamine,dextroamphetamine,False,True,
110,vyvanse,amphetamine,lisdexamfetamine,False,False,
111,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
112,amphetimines,amphetamine,amphetamine,True,False,
113,amphetines,amphetamine,False,False,True,
114,dexedrine,amphetamine,dextroamphetamine,False,True,
115,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
116,methamphetamine,amphetamine,methamphetamine,False,False,
117,methamfetamine,amphetamine,methamphetamine,False,True,
118,crystal_meth,amphetamine,methamphetamine,False,True,
119,speed,amphetamine,False,False,False,
120,amfetamine,amphetamine,amphetamine,True,True,
121,phenethylamine,amphetamine,phenethylamine,False,True,
122,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
123,advanced_amphetamines,amphetamine,False,False,False,
124,benzedrine,amphetamine,False,False,True,
125,dexedrine,amphetamine,dextroamphetamine,False,True,
126,methedrine,amphetamine,ephedrine,False,False,
127,amphetamine_sulfate,amphetamine,amphetamine,True,True,
128,amphetamine_salts,amphetamine,False,True,True,
129,amfetamine,amphetamine,amphetamine,True,True,
130,amfetamin,amphetamine,amphetamine,True,True,
131,methamphetamine,amphetamine,methamphetamine,False,False,
132,methamphetammin,amphetamine,False,False,False,
133,methylphenidate,amphetamine,methylphenidate,False,False,
134,benzedrine,amphetamine,False,False,True,
135,dexedrine,amphetamine,dextroamphetamine,False,True,
136,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
137,methamphetamine,amphetamine,methamphetamine,False,False,
138,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
139,vyvanse,amphetamine,lisdexamfetamine,False,False,
140,d-amphetamine,amphetamine,False,False,True,
141,methamphetamine,amphetamine,methamphetamine,False,False,
142,methamphetamin,amphetamine,methamphetamine,False,False,
143,speed,amphetamine,False,False,False,
144,amfetamin,amphetamine,amphetamine,True,True,
145,amfetamine,amphetamine,amphetamine,True,True,
146,benny,amphetamine,False,False,True,
147,bicurious,amphetamine,False,False,False,
148,crank,amphetamine,False,False,False,
149,dolly,amphetamine,False,False,False,
150,dope,amphetamine,False,False,False,
151,dust,amphetamine,False,False,False,
152,gak,amphetamine,False,False,False,
153,goofballs,amphetamine,False,False,False,
154,happy_dust,amphetamine,False,False,False,
155,happy_pills,amphetamine,False,False,False,
156,speed,amphetamine,False,False,False,
157,uppers,amphetamine,False,False,False,
158,amphetamines,amphetamine,dextroamphetamine,False,True,
159,amfetamine,amphetamine,amphetamine,True,True,
160,amphetamine_sulphate,amphetamine,False,True,True,
161,dexamphetamine,amphetamine,dextroamphetamine,False,True,
162,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
163,amphetimines,amphetamine,amphetamine,True,False,
164,amphets,amphetamine,False,False,True,
165,ampetamin,amphetamine,False,False,True,
166,amfetamin,amphetamine,amphetamine,True,True,
167,amphetam,amphetamine,False,False,True,
168,amphetimine,amphetamine,amphetamine,True,True,
169,adderall,amphetamine,amphetamine,True,True,
170,desoxyephedrine,amphetamine,methamphetamine,False,False,
171,amphetomine,amphetamine,False,False,True,
172,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
173,stimulant,amphetamine,False,False,False,
174,methamphetimine,amphetamine,methamphetamine,False,True,
175,deoxyephedrine,amphetamine,False,False,False,
176,methamphetamines,amphetamine,methamphetamine,False,False,
177,catin,amphetamine,trimethoprim,False,False,
178,dexedrine,amphetamine,dextroamphetamine,False,True,
179,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
180,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
181,methamphetamines,amphetamine,methamphetamine,False,False,
182,methylphenidate,amphetamine,methylphenidate,False,False,
183,pemoline,amphetamine,pemoline,False,True,
184,phenethylamines,amphetamine,phenethylamine,False,True,
185,stimulants,amphetamine,False,False,True,
186,amfetamines,amphetamine,amphetamine,True,True,
187,amfetamin,amphetamine,amphetamine,True,True,
188,amphhetamine,amphetamine,False,False,True,
189,amphetamines,amphetamine,dextroamphetamine,False,True,
190,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
191,procentra,amphetamine,dextroamphetamine,False,True,
192,dexedrine,amphetamine,dextroamphetamine,False,True,
193,vyvanse,amphetamine,lisdexamfetamine,False,False,
194,adderall,amphetamine,amphetamine,True,True,
195,concerta,amphetamine,methylphenidate,False,False,
196,ritalin,amphetamine,methylphenidate,False,False,
197,ritalin,amphetamine,methylphenidate,False,False,
198,speed,amphetamine,False,False,False,
199,dexamphetamine,amphetamine,dextroamphetamine,False,True,
200,phenethylamphetamine,amphetamine,False,False,False,
201,mephentermine,amphetamine,mephentermine,False,False,
202,mesocarb,amphetamine,False,False,True,
203,carazolol,amphetamine,False,False,False,
204,etilefrine,amphetamine,False,False,False,
205,norfenefrine,amphetamine,False,False,False,
206,fenbutrazate,amphetamine,False,False,False,
207,fenetylline,amphetamine,fenethylline,False,True,
208,oxyphenbutazate,amphetamine,False,False,False,
209,procyclidine,amphetamine,procyclidine,False,False,
210,tricyclic_antidepressant,amphetamine,False,False,True,
211,amphetomine,amphetamine,False,False,True,
212,ampheonine,amphetamine,False,False,False,
213,ampheramine,amphetamine,False,False,True,
214,amphetin,amphetamine,False,False,True,
215,amphetine,amphetamine,amphetamine,True,True,
216,amphetona,amphetamine,False,False,False,
217,amphetoxy,amphetamine,False,False,False,
218,bension,amphetamine,False,False,False,
219,dexedrine,amphetamine,dextroamphetamine,False,True,
220,dexamfetamine,amphetamine,dextroamphetamine,False,True,
221,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
222,methamphetamine,amphetamine,methamphetamine,False,False,
223,methylamphetamine,amphetamine,methamphetamine,False,True,
224,phenmetrazine,amphetamine,phenmetrazine,False,True,
225,selegiline,amphetamine,selegiline,False,True,
226,amfitamines,amphetamine,False,False,False,
227,amphelamines,amphetamine,False,False,False,
228,amphetamines,amphetamine,dextroamphetamine,False,True,
229,amphetamine_sulfate,amphetamine,amphetamine,True,True,
230,dexedrine,amphetamine,dextroamphetamine,False,True,
231,speed,amphetamine,False,False,False,
232,uppers,amphetamine,False,False,False,
233,amphetimines,amphetamine,amphetamine,True,False,
234,amphetamine,amphetamine,amphetamine,True,True,
235,cathinone,amphetamine,cathinone,False,True,
236,chlorphentermine,amphetamine,chlorphentermine,False,False,
237,clortermine,amphetamine,False,False,False,
238,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
239,dimethylamphetamine,amphetamine,False,False,True,
240,ethylamphetamine,amphetamine,methamphetamine,False,True,
241,fenethylline,amphetamine,fenethylline,False,True,
242,leap,amphetamine,False,False,False,
243,phentermine,amphetamine,phentermine,False,True,
244,prenylamine,amphetamine,False,False,False,
245,prolyndehyde,amphetamine,False,False,False,
246,probecidin,amphetamine,False,False,False,
247,rcinaldine,amphetamine,False,False,False,
248,tetrahydroisoquinoline,amphetamine,False,False,False,
249,thymonucleate,amphetamine,False,False,False,
250,tranylcypromine,amphetamine,tranylcypromine,False,False,
251,tyramine,amphetamine,tyramine,False,False,
252,speed,amphetamine,False,False,False,
253,uppers,amphetamine,False,False,False,
254,methamfetamine,amphetamine,methamphetamine,False,True,
255,speed,amphetamine,False,False,False,
256,uppers,amphetamine,False,False,False,
257,amfetamin,amphetamine,amphetamine,True,True,
258,amphetimine,amphetamine,amphetamine,True,True,
259,dexamphetamine,amphetamine,dextroamphetamine,False,True,
260,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
261,amphetimine,amphetamine,amphetamine,True,True,
262,ephedrine,amphetamine,ephedrine,False,False,
263,methamphetamine,amphetamine,methamphetamine,False,False,
264,amfetamine,amphetamine,amphetamine,True,True,
265,methamphetamines,amphetamine,methamphetamine,False,False,
266,amphetaminesulphate,amphetamine,False,False,True,
267,benzedrine,amphetamine,False,False,True,
268,dexedrine,amphetamine,dextroamphetamine,False,True,
269,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
270,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
271,methamphetamine,amphetamine,methamphetamine,False,False,
272,speed,amphetamine,False,False,False,
273,amphetamine_sulphate,amphetamine,False,True,True,
274,speed,amphetamine,False,False,False,
275,amphetamine_sulphate,amphetamine,False,True,True,
276,amfetamine,amphetamine,amphetamine,True,True,
277,amphetamine,amphetamine,amphetamine,True,True,
278,amfetamin,amphetamine,amphetamine,True,True,
279,amphetaminum,amphetamine,False,False,False,
280,amphetamines,amphetamine,dextroamphetamine,False,True,
281,amphetimine,amphetamine,amphetamine,True,True,
282,amphetimines,amphetamine,amphetamine,True,False,
283,amphétamine,amphetamine,False,False,True,
284,amphétamines,amphetamine,False,False,True,
285,methamphetamin,amphetamine,methamphetamine,False,False,
286,methamphetamines,amphetamine,methamphetamine,False,False,
287,omphetamine,amphetamine,False,False,False,
288,umphetamine,amphetamine,False,False,False,
289,dendrite,amphetamine,False,False,False,
290,dexedrine,amphetamine,dextroamphetamine,False,True,
291,deoxyephedrine,amphetamine,False,False,False,
292,methamphetamine,amphetamine,methamphetamine,False,False,
293,methedrine,amphetamine,ephedrine,False,False,
294,methamphetimine,amphetamine,methamphetamine,False,True,
295,phenmetrazine,amphetamine,phenmetrazine,False,True,
296,amphetamines,amphetamine,dextroamphetamine,False,True,
297,amphetamines,amphetamine,dextroamphetamine,False,True,
298,amphetimines,amphetamine,amphetamine,True,False,
299,amphetites,amphetamine,False,False,False,
300,amphetos,amphetamine,False,False,False,
301,amphetron,amphetamine,False,False,False,
302,ampehs,amphetamine,False,False,False,
303,ampeps,amphetamine,False,False,True,
304,amreps,amphetamine,False,False,True,
305,procentra,amphetamine,dextroamphetamine,False,True,
306,dexedrine,amphetamine,dextroamphetamine,False,True,
307,adipex,amphetamine,phentermine,False,True,
308,phendimetrazine,amphetamine,phendimetrazine,False,False,
309,phentermine,amphetamine,phentermine,False,True,
310,ephedrine,amphetamine,ephedrine,False,False,
311,pseudoephedrine,amphetamine,pseudoephedrine,False,False,
312,amphetimines,amphetamine,amphetamine,True,False,
313,amphetomes,amphetamine,False,False,True,
314,methamphetamine,amphetamine,methamphetamine,False,False,
315,adderall,amphetamine,amphetamine,True,True,
316,ritalin,amphetamine,methylphenidate,False,False,
317,dexedrine,amphetamine,dextroamphetamine,False,True,
318,desoxyn,amphetamine,methamphetamine,False,True,
319,vyvanse,amphetamine,lisdexamfetamine,False,False,
320,concerta,amphetamine,methylphenidate,False,False,
321,methylphenidate,amphetamine,methylphenidate,False,False,
322,ritalin,amphetamine,methylphenidate,False,False,
323,vyvanse,amphetamine,lisdexamfetamine,False,False,
324,concerta,amphetamine,methylphenidate,False,False,
325,strattera,amphetamine,atomoxetine,False,False,
326,desoxyn,amphetamine,methamphetamine,False,True,
327,dexedrine,amphetamine,dextroamphetamine,False,True,
328,speed,amphetamine,False,False,False,
329,meth,amphetamine,methamphetamine,False,False,
330,methamphetamines,amphetamine,methamphetamine,False,False,
331,dexedrine,amphetamine,dextroamphetamine,False,True,
332,dexies,amphetamine,dextroamphetamine,False,False,
333,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
334,yaba,amphetamine,False,False,False,
335,speed,amphetamine,False,False,False,
336,uppers,amphetamine,False,False,False,
337,phenethylamine,amphetamine,phenethylamine,False,True,
338,methamphetamine,amphetamine,methamphetamine,False,False,
339,amfetamines,amphetamine,amphetamine,True,True,
340,amphetimine,amphetamine,amphetamine,True,True,
341,amphetaminesulfate,amphetamine,amphetamine,True,True,
342,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
343,amfetamine,amphetamine,amphetamine,True,True,
344,amphetimine,amphetamine,amphetamine,True,True,
345,ampheamine,amphetamine,False,False,True,
346,amphethamine,amphetamine,amphetamine,True,True,
347,benzedrine,amphetamine,False,False,True,
348,bromo-,amphetamine,False,False,False,
349,cocaine,amphetamine,cocaine,False,False,
350,dexedrine,amphetamine,dextroamphetamine,False,True,
351,diethylpropion,amphetamine,diethylpropion,False,False,
352,ephedrine,amphetamine,ephedrine,False,False,
353,fen-phen,amphetamine,False,False,False,
354,methamphetamine,amphetamine,methamphetamine,False,False,
355,methylphenidate,amphetamine,methylphenidate,False,False,
356,pemoline,amphetamine,pemoline,False,True,
357,phenmetrazine,amphetamine,phenmetrazine,False,True,
358,phentermine,amphetamine,phentermine,False,True,
359,sibutramine,amphetamine,sibutramine,False,False,
360,speed,amphetamine,False,False,False,
361,sympathetic_nervous_system,amphetamine,False,False,False,
362,amfetamines,amphetamine,amphetamine,True,True,
363,amphetimine,amphetamine,amphetamine,True,True,
364,amphetamin,amphetamine,amphetamine,True,True,
365,amphetemine,amphetamine,amphetamine,True,True,
366,amfyamine,amphetamine,False,False,False,
367,amphetsmine,amphetamine,False,False,True,
368,amphetamine_sulfate,amphetamine,amphetamine,True,True,
369,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
370,methamphetamine,amphetamine,methamphetamine,False,False,
371,fenetylline,amphetamine,fenethylline,False,True,
372,metamphetamine,amphetamine,methamphetamine,False,True,
373,uppers,amphetamine,False,False,False,
374,speed,amphetamine,False,False,False,
375,dexies,amphetamine,dextroamphetamine,False,False,
376,crank,amphetamine,False,False,False,
377,go-pills,amphetamine,False,False,False,
378,pep_pills,amphetamine,False,False,True,
379,bennies,amphetamine,False,False,True,
380,methamphetamine,amphetamine,methamphetamine,False,False,
381,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
382,methamphetamine,amphetamine,methamphetamine,False,False,
383,phenylamphetamine,amphetamine,False,False,False,
384,selegiline,amphetamine,selegiline,False,True,
385,tranylcypromine,amphetamine,tranylcypromine,False,False,
386,lamphetamine,amphetamine,False,False,True,
387,d-amphetamine,amphetamine,False,False,True,
388,6-o-desoxy-m-d-amphetamine,amphetamine,False,False,True,
389,fenamine,amphetamine,False,False,False,
390,benzedrine,amphetamine,False,False,True,
391,dexedrine,amphetamine,dextroamphetamine,False,True,
392,methamphetamine,amphetamine,methamphetamine,False,False,
393,dexamphetamine,amphetamine,dextroamphetamine,False,True,
394,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
395,bennies,amphetamine,False,False,True,
396,black_beauties,amphetamine,False,False,True,
397,cold_pills,amphetamine,False,False,False,
398,diet_pills,amphetamine,False,False,False,
399,pep_pills,amphetamine,False,False,True,
400,uppers,amphetamine,False,False,False,
401,bennies,amphetamine,False,False,True,
402,black_beauties,amphetamine,False,False,True,
403,beam,amphetamine,False,False,False,
404,blue_pill,amphetamine,False,False,False,
405,race_horses,amphetamine,False,False,False,
406,dexies,amphetamine,dextroamphetamine,False,False,
407,speed,amphetamine,False,False,False,
408,amfetamin,amphetamine,amphetamine,True,True,
409,amfetamine,amphetamine,amphetamine,True,True,
410,amphetamine_sulfate,amphetamine,amphetamine,True,True,
411,benzedrine,amphetamine,False,False,True,
412,dexedrine,amphetamine,dextroamphetamine,False,True,
413,deoxyephedrine,amphetamine,False,False,False,
414,methylamphetamine,amphetamine,methamphetamine,False,True,
415,anphtamine,amphetamine,False,False,True,
416,amphetimines,amphetamine,amphetamine,True,False,
417,dexedrine,amphetamine,dextroamphetamine,False,True,
418,crystal_meth,amphetamine,methamphetamine,False,True,
419,methamphetamine,amphetamine,methamphetamine,False,False,
420,amphetamine_sulphate,amphetamine,False,True,True,
421,speed,amphetamine,False,False,False,
422,bensyltryprothiazine,amphetamine,False,False,False,
423,chlorphentermine,amphetamine,chlorphentermine,False,False,
424,clortermine,amphetamine,False,False,False,
425,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
426,d-amphetamine,amphetamine,False,False,True,
427,dl-amphetamine,amphetamine,False,False,True,
428,methamphetamine,amphetamine,methamphetamine,False,False,
429,phenethylamine,amphetamine,phenethylamine,False,True,
430,methamphetamine,amphetamine,methamphetamine,False,False,
431,phenamine,amphetamine,False,False,False,
432,blue_hearts,amphetamine,False,False,True,
433,dexies,amphetamine,dextroamphetamine,False,False,
434,uppers,amphetamine,False,False,False,
435,benzedrine,amphetamine,False,False,True,
436,bennies,amphetamine,False,False,True,
437,black_beauties,amphetamine,False,False,True,
438,speed,amphetamine,False,False,False,
439,uppers,amphetamine,False,False,False,
440,amphetamines,amphetamine,dextroamphetamine,False,True,
441,amfetamine,amphetamine,amphetamine,True,True,
442,methamphetamine,amphetamine,methamphetamine,False,False,
443,amfetamině,amphetamine,False,False,True,
444,amphetamines,amphetamine,dextroamphetamine,False,True,
445,amphetamines,amphetamine,dextroamphetamine,False,True,
446,amphetamine_sulfate,amphetamine,amphetamine,True,True,
447,benzedrine,amphetamine,False,False,True,
448,methamphetamine,amphetamine,methamphetamine,False,False,
449,methedrine,amphetamine,ephedrine,False,False,
450,methylamphetamine,amphetamine,methamphetamine,False,True,
451,speed,amphetamine,False,False,False,
452,amphetamines,amphetamine,dextroamphetamine,False,True,
453,dexedrine,amphetamine,dextroamphetamine,False,True,
454,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
455,vyvanse,amphetamine,lisdexamfetamine,False,False,
456,procentra,amphetamine,dextroamphetamine,False,True,
457,elvanse,amphetamine,False,False,True,
458,zenzedi,amphetamine,dextroamphetamine,False,True,
459,quillivant,amphetamine,methylphenidate,False,False,
460,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
461,adderall,amphetamine,amphetamine,True,True,
462,dexedrine,amphetamine,dextroamphetamine,False,True,
463,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
464,methamphetamine,amphetamine,methamphetamine,False,False,
465,amphets,amphetamine,False,False,True,
466,amphetamines,amphetamine,dextroamphetamine,False,True,
467,aminoethylethanolamines,amphetamine,False,False,False,
468,adderall,amphetamine,amphetamine,True,True,
469,dexedrine,amphetamine,dextroamphetamine,False,True,
470,vyvanse,amphetamine,lisdexamfetamine,False,False,
471,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
472,amphetimine,amphetamine,amphetamine,True,True,
473,amphetamine_sulfate,amphetamine,amphetamine,True,True,
474,deoxyephedrine,amphetamine,False,False,False,
475,methamphetamine,amphetamine,methamphetamine,False,False,
476,metamphetamines,amphetamine,methamphetamine,False,True,
477,phenmetrazine,amphetamine,phenmetrazine,False,True,
478,methylphenidate,amphetamine,methylphenidate,False,False,
479,amphetimines,amphetamine,amphetamine,True,False,
480,amfetamine,amphetamine,amphetamine,True,True,
481,amphetamin,amphetamine,amphetamine,True,True,
482,amfetamino,amphetamine,False,False,True,
483,amfetaminu,amphetamine,False,False,False,
484,speed,amphetamine,False,False,False,
485,meth,amphetamine,methamphetamine,False,False,
486,amphetimine,amphetamine,amphetamine,True,True,
487,amphets,amphetamine,False,False,True,
488,amphetaminesulfate,amphetamine,amphetamine,True,True,
489,speed,amphetamine,False,False,False,
490,amphetaminesulphate,amphetamine,False,False,True,
491,dexamphetamine,amphetamine,dextroamphetamine,False,True,
492,amphetamine_salts,amphetamine,False,True,True,
493,dexamphetamine,amphetamine,dextroamphetamine,False,True,
494,methamphetamine,amphetamine,methamphetamine,False,False,
495,speed,amphetamine,False,False,False,
496,amfetamine,amphetamine,amphetamine,True,True,
497,amfetamin,amphetamine,amphetamine,True,True,
498,strychnine,amphetamine,False,False,False,
499,amphetamine_hydrochloride,amphetamine,False,True,True,
500,benzedrine,amphetamine,False,False,True,
501,dexedrine,amphetamine,dextroamphetamine,False,True,
502,crystal_meth,amphetamine,methamphetamine,False,True,
503,speed,amphetamine,False,False,False,
504,uppers,amphetamine,False,False,False,
505,amphetaminil,amphetamine,False,False,True,
506,desoxynorephedrine,amphetamine,False,False,False,
507,dexedrine,amphetamine,dextroamphetamine,False,True,
508,vyvanse,amphetamine,lisdexamfetamine,False,False,
509,desoxyephedrine,amphetamine,methamphetamine,False,False,
510,metamfetamine,amphetamine,methamphetamine,False,False,
511,methamphetamine,amphetamine,methamphetamine,False,False,
512,phenmetrazine,amphetamine,phenmetrazine,False,True,
513,raceamin,amphetamine,False,False,False,
514,amfetaminesulfate,amphetamine,False,False,True,
515,dexedrine,amphetamine,dextroamphetamine,False,True,
516,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
517,methylphenidate,amphetamine,methylphenidate,False,False,
518,vyvanse,amphetamine,lisdexamfetamine,False,False,
519,amfetamines,amphetamine,amphetamine,True,True,
520,methamphetamines,amphetamine,methamphetamine,False,False,
521,amphytamine,amphetamine,False,False,True,
522,central_nervous_system_stimulant,amphetamine,False,False,False,
523,benzedrine,amphetamine,False,False,True,
524,dextroamphetamine,amphetamine,dextroamphetamine,False,True,
525,dexedrine,amphetamine,dextroamphetamine,False,True,
526,lisdexamfetamine,amphetamine,lisdexamfetamine,False,True,
527,methamphetamine,amphetamine,methamphetamine,False,False,
528,methylamphetamine,amphetamine,methamphetamine,False,True,
529,speed,amphetamine,False,False,False,
530,amfetamin,amphetamine,amphetamine,True,True,
531,speed,amphetamine,False,False,False,
532,lysergic_acid_diethylamide,amphetamine,lysergic_acid_diethylamide,False,False,
533,methamphetamine,amphetamine,methamphetamine,False,False,
534,audiotape,amphetamine,False,False,False,
535,bennies,amphetamine,False,False,True,
536,black_beauties,amphetamine,False,False,True,
537,blue_diamonds,amphetamine,False,False,False,
538,blue_heavens,amphetamine,False,False,False,
539,blue_devils,amphetamine,False,False,False,
540,blue_magic,amphetamine,False,False,False,
541,brain_sugar,amphetamine,False,False,False,
542,brown_sugar,amphetamine,False,False,False,
543,captcha,amphetamine,False,False,False,
544,charge,amphetamine,False,False,False,
545,crank,amphetamine,False,False,False,
546,crystal,amphetamine,False,False,True,
547,dexies,amphetamine,dextroamphetamine,False,False,
548,diet_soda,amphetamine,False,False,False,
549,ephedrin,amphetamine,ephedrine,False,True,
550,ephedrinum,amphetamine,False,False,False,
551,factor_x,amphetamine,coagulation_factor_x_human,False,False,
552,go-pills,amphetamine,False,False,False,
553,happy_dust,amphetamine,False,False,False,
554,happy_powder,amphetamine,False,False,False,
555,hiropon,amphetamine,False,False,False,
556,joy_dust,amphetamine,False,False,False,
557,kampo,amphetamine,False,False,False,
558,leaf,amphetamine,False,False,False,
559,meth,amphetamine,methamphetamine,False,False,
560,methamph,amphetamine,amphetamine,False,False,
561,methamphetamine,amphetamine,methamphetamine,False,False,
