,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
192,ativan,lorazepam,lorazepam,True,True,
193,ativans,lorazepam,lorazepam,True,True,
194,benzodiazepine,lorazepam,benzodiazepine,False,False,
195,azapam,lorazepam,False,False,False,
196,alprazolam,lorazepam,alprazolam,False,False,
197,clonazepam,lorazepam,clonazepam,False,False,
198,diazepam,lorazepam,diazepam,False,False,
199,zolpidem,lorazepam,zolpidem,False,False,
200,ativan,lorazepam,lorazepam,True,True,
201,ativan,lorazepam,lorazepam,True,True,
202,orapam,lorazepam,False,False,False,
203,alazapam,lorazepam,False,False,True,
204,aylorazepam,lorazepam,False,False,False,
205,lorazepamum,lorazepam,False,False,True,
206,loracepam,lorazepam,False,False,True,
207,lorsbfpam,lorazepam,False,False,False,
208,lorapepam,lorazepam,False,False,True,
209,lorazolam,lorazepam,False,False,True,
210,lorapram,lorazepam,False,False,True,
211,lorasepam,lorazepam,False,False,True,
212,loraspam,lorazepam,False,False,True,
213,lorazepam,lorazepam,lorazepam,True,True,
214,lorazepane,lorazepam,False,False,True,
215,lorazepamide,lorazepam,False,False,False,
216,lorazepanide,lorazepam,False,False,False,
217,azapam,lorazepam,False,False,False,
218,azapams,lorazepam,False,False,False,
219,benzacepin,lorazepam,False,False,False,
220,benzazepam,lorazepam,False,False,False,
221,bensedin,lorazepam,False,False,False,
222,besacepin,lorazepam,False,False,False,
223,capracepin,lorazepam,False,False,False,
224,cloazepam,lorazepam,False,False,False,
225,clotiazepam,lorazepam,clotiazepam,False,False,
226,clozapam,lorazepam,clobazam,False,False,
227,dalmane,lorazepam,flurazepam,False,False,
228,denzapam,lorazepam,False,False,False,
229,hyperam,lorazepam,False,False,False,
230,hypnopax,lorazepam,False,False,False,
231,iproazam,lorazepam,False,False,False,
232,lopam,lorazepam,False,False,False,
233,loram,lorazepam,False,False,False,
234,orfiram,lorazepam,False,False,False,
235,prazepam,lorazepam,prazepam,False,False,
236,tempazepam,lorazepam,temazepam,False,False,
237,tétrazépam,lorazepam,False,False,False,
238,térazépam,lorazepam,False,False,False,
239,tranquilizer,lorazepam,False,False,False,
240,xanax,lorazepam,alprazolam,False,False,
241,lorazepamum,lorazepam,False,False,True,
242,benzodiazepine,lorazepam,benzodiazepine,False,False,
243,calmepam,lorazepam,False,False,False,
244,control,lorazepam,False,False,False,
245,dalmane,lorazepam,flurazepam,False,False,
246,delirium,lorazepam,False,False,False,
247,disinhibition,lorazepam,False,False,False,
248,drowsiness,lorazepam,False,False,False,
249,emotional_lability,lorazepam,False,False,False,
250,euphoria,lorazepam,False,False,False,
251,fatigue,lorazepam,False,False,False,
252,hypnosis,lorazepam,False,False,False,
253,impaired_coordination,lorazepam,False,False,False,
254,impaired_judgment,lorazepam,False,False,False,
255,impaired_memory,lorazepam,False,False,False,
256,impulsive_behavior,lorazepam,False,False,False,
257,irritability,lorazepam,False,False,False,
258,loraz,lorazepam,chlorhexadol,False,True,
259,lorazep,lorazepam,False,False,True,
260,lorazepan,lorazepam,lorazepam,True,True,
261,lorazepamum,lorazepam,False,False,True,
262,medazepam,lorazepam,temazepam,False,False,
263,neurasthenia,lorazepam,False,False,False,
264,sedation,lorazepam,False,False,False,
265,sedative,lorazepam,False,False,False,
266,somnolence,lorazepam,False,False,False,
267,tension_relief,lorazepam,False,False,False,
268,tranxene,lorazepam,clorazepate,False,False,
269,lorazepane,lorazepam,False,False,True,
270,lorzepam,lorazepam,lorazepam,True,True,
271,hypnotic,lorazepam,False,False,False,
272,tranquilizer,lorazepam,False,False,False,
273,lorazepan,lorazepam,lorazepam,True,True,
274,azepam,lorazepam,oxazepam,False,True,
275,alprazolam,lorazepam,alprazolam,False,False,
276,triazolam,lorazepam,triazolam,False,False,
277,chlordiazepoxide,lorazepam,chlordiazepoxide,False,False,
278,diazepam,lorazepam,diazepam,False,False,
279,flunitrazepam,lorazepam,flunitrazepam,False,False,
280,lorazepan,lorazepam,lorazepam,True,True,
281,lorazepane,lorazepam,False,False,True,
282,lorazepanes,lorazepam,False,False,False,
283,lorazepamide,lorazepam,False,False,False,
284,lorazepamides,lorazepam,False,False,False,
285,lorazopam,lorazepam,lorazepam,True,True,
286,loropam,lorazepam,False,False,True,
287,lorpam,lorazepam,False,False,True,
288,lorazeprom,lorazepam,False,False,False,
289,lorasm,lorazepam,False,False,False,
290,lores,lorazepam,False,False,False,
291,lorem,lorazepam,False,False,False,
292,orfidal,lorazepam,False,False,True,
293,ativan,lorazepam,lorazepam,True,True,
294,tranquilizer,lorazepam,False,False,False,
295,lorazapam,lorazepam,lorazepam,True,True,
296,xanax,lorazepam,alprazolam,False,False,
297,alarazepam,lorazepam,False,False,False,
298,lumbar,lorazepam,False,False,False,
299,relaxant,lorazepam,False,False,False,
300,anxiolytic,lorazepam,False,False,False,
301,benzodiazepines,lorazepam,benzodiazepine,False,True,
302,lorazepam's,lorazepam,False,False,True,
303,lorahexal,lorazepam,False,False,False,
304,orfidal,lorazepam,False,False,True,
305,sedormid,lorazepam,False,False,False,
306,ansiolin,lorazepam,False,False,False,
307,trankimazin,lorazepam,False,False,False,
308,tranquilene,lorazepam,False,False,False,
309,relaxil,lorazepam,False,False,False,
310,tazepam,lorazepam,False,False,False,
311,thermostat,lorazepam,False,False,False,
312,anxitane,lorazepam,loxapine,False,False,
313,calmative,lorazepam,False,False,False,
314,tranquillizer,lorazepam,False,False,False,
315,lorazeprom,lorazepam,False,False,False,
316,lorazeprome,lorazepam,False,False,False,
317,lorazepromide,lorazepam,False,False,False,
318,lorazepamyde,lorazepam,False,False,False,
319,tranxene,lorazepam,clorazepate,False,False,
320,valium,lorazepam,diazepam,False,False,
321,klonopin,lorazepam,clonazepam,False,False,
322,librium,lorazepam,chlordiazepoxide,False,False,
323,xanax,lorazepam,alprazolam,False,False,
324,restoril,lorazepam,temazepam,False,False,
325,temazepam,lorazepam,temazepam,False,False,
326,ativan,lorazepam,lorazepam,True,True,
327,lorazepam,lorazepam,lorazepam,True,True,
328,larazepam,lorazepam,False,False,True,
329,lirazepam,lorazepam,False,False,True,
330,lorapam,lorazepam,False,False,True,
331,lorispam,lorazepam,False,False,False,
332,lorazepam,lorazepam,lorazepam,True,True,
333,lorzac,lorazepam,False,False,False,
334,lorsed,lorazepam,False,False,False,
335,azepam,lorazepam,oxazepam,False,True,
336,loraz,lorazepam,chlorhexadol,False,True,
337,loram,lorazepam,False,False,False,
338,orfran,lorazepam,False,False,False,
339,tranxene,lorazepam,clorazepate,False,False,
340,loraz,lorazepam,chlorhexadol,False,True,
341,lorazepamum,lorazepam,False,False,True,
342,orfiril,lorazepam,valproic_acid,False,False,
343,sedekopan,lorazepam,False,False,False,
344,lorabenz,lorazepam,False,False,True,
345,lorazep-am,lorazepam,False,False,True,
346,tranxene,lorazepam,clorazepate,False,False,
347,xanax,lorazepam,alprazolam,False,False,
348,loraz,lorazepam,chlorhexadol,False,True,
349,lorapam,lorazepam,False,False,True,
350,lorzepam,lorazepam,lorazepam,True,True,
351,lorazepamum,lorazepam,False,False,True,
352,azepam,lorazepam,oxazepam,False,True,
353,lorans,lorazepam,False,False,False,
354,orfidal,lorazepam,False,False,True,
355,tranquilis,lorazepam,False,False,False,
356,ansiolin,lorazepam,False,False,False,
357,sedatif_pc,lorazepam,False,False,False,
358,calmpose,lorazepam,False,False,False,
359,dormicum,lorazepam,midazolam,False,False,
360,dipipanone/cyclizine,lorazepam,False,False,False,
361,loripam,lorazepam,False,False,True,
362,lorzapams,lorazepam,False,False,True,
363,orfidal,lorazepam,False,False,True,
364,tranxene,lorazepam,clorazepate,False,False,
365,librium,lorazepam,chlordiazepoxide,False,False,
366,lorazepames,lorazepam,False,False,False,
367,lorazepamines,lorazepam,False,False,False,
368,lorazepamses,lorazepam,False,False,False,
369,lorazepamides,lorazepam,False,False,False,
370,lirazepam,lorazepam,False,False,True,
371,lurasepam,lorazepam,False,False,False,
372,xanax,lorazepam,alprazolam,False,False,
373,azepam,lorazepam,oxazepam,False,True,
374,lorabenz,lorazepam,False,False,True,
375,loraz,lorazepam,chlorhexadol,False,True,
376,loram,lorazepam,False,False,False,
377,orapam,lorazepam,False,False,False,
378,tazepam,lorazepam,False,False,False,
379,lorazapam,lorazepam,lorazepam,True,True,
380,loracepam,lorazepam,False,False,True,
381,lorzepam,lorazepam,lorazepam,True,True,
382,lor_assumed,lorazepam,False,False,False,
383,benzodiazepine,lorazepam,benzodiazepine,False,False,
384,tranqipam,lorazepam,False,False,True,
385,tranqipax,lorazepam,False,False,False,
386,trilafon,lorazepam,perphenazine,False,False,
387,xanax,lorazepam,alprazolam,False,False,
388,loraz,lorazepam,chlorhexadol,False,True,
389,lora,lorazepam,chlorhexadol,False,False,
390,azepam,lorazepam,oxazepam,False,True,
391,alprazolam,lorazepam,alprazolam,False,False,
392,diazepam,lorazepam,diazepam,False,False,
393,clonazepam,lorazepam,clonazepam,False,False,
394,zolpidem,lorazepam,zolpidem,False,False,
395,lorazepan,lorazepam,lorazepam,True,True,
396,lorazepane,lorazepam,False,False,True,
397,lorazepar,lorazepam,False,False,False,
398,lorazepan,lorazepam,lorazepam,True,True,
399,lorazepamum,lorazepam,False,False,True,
400,trucalm,lorazepam,False,False,False,
401,orap,lorazepam,pimozide,False,False,
402,restoril,lorazepam,temazepam,False,False,
403,sublinox,lorazepam,zolpidem,False,False,
404,tiagabine,lorazepam,tiagabine,False,False,
405,valium,lorazepam,diazepam,False,False,
406,zolpidem,lorazepam,zolpidem,False,False,
407,orfidal,lorazepam,False,False,True,
408,tranquilizers,lorazepam,False,False,False,
409,valium,lorazepam,diazepam,False,False,
410,xanax,lorazepam,alprazolam,False,False,
411,lorapam,lorazepam,False,False,True,
412,lora,lorazepam,chlorhexadol,False,False,
413,lorazepan,lorazepam,lorazepam,True,True,
414,lor,lorazepam,False,False,False,
415,lorazepamum,lorazepam,False,False,True,
416,lorapam,lorazepam,False,False,True,
417,llapam,lorazepam,False,False,False,
418,lorazepane,lorazepam,False,False,True,
419,lorazepaide,lorazepam,False,False,False,
420,lorazepaine,lorazepam,False,False,False,
421,lorazepamid,lorazepam,False,False,False,
422,lorazepamide,lorazepam,False,False,False,
423,tranquilizer,lorazepam,False,False,False,
424,lorazapam,lorazepam,lorazepam,True,True,
425,dorivan,lorazepam,False,False,False,
426,ivadans,lorazepam,False,False,False,
427,lopazepam,lorazepam,False,False,True,
428,lorsitan,lorazepam,False,False,False,
429,orivans,lorazepam,False,False,False,
430,zepivan,lorazepam,False,False,False,
431,orap,lorazepam,pimozide,False,False,
432,ativan,lorazepam,lorazepam,True,True,
433,lorapazam,lorazepam,False,False,True,
434,lorazepan,lorazepam,lorazepam,True,True,
435,lorazepezam,lorazepam,False,False,False,
436,lorazepom,lorazepam,False,False,True,
437,lorazepoam,lorazepam,False,False,True,
438,lorazepum,lorazepam,False,False,True,
439,orazepam,lorazepam,False,False,True,
440,razepam,lorazepam,False,False,True,
441,lorazepanes,lorazepam,False,False,False,
442,lorazepamses,lorazepam,False,False,False,
443,lorazepan,lorazepam,lorazepam,True,True,
444,lorasepam,lorazepam,False,False,True,
445,tranzene,lorazepam,clorazepate,False,False,
446,lorsatan,lorazepam,losartan,False,False,
447,orazepam,lorazepam,False,False,True,
448,lorapam,lorazepam,False,False,True,
449,lorazepan,lorazepam,lorazepam,True,True,
450,lorispam,lorazepam,False,False,False,
451,lorazan,lorazepam,False,False,True,
452,lorahypam,lorazepam,False,False,False,
453,reladorm,lorazepam,False,False,False,
454,tranqipam,lorazepam,False,False,True,
455,baikal,lorazepam,False,False,False,
456,durazolam,lorazepam,False,False,False,
457,halazepam,lorazepam,halazepam,False,False,
458,lorasepam,lorazepam,False,False,True,
459,medazepam,lorazepam,temazepam,False,False,
460,onsolis,lorazepam,False,False,False,
461,orfiril,lorazepam,valproic_acid,False,False,
462,lorezepams,lorazepam,False,False,False,
463,lorazepan,lorazepam,lorazepam,True,True,
464,lorazepans,lorazepam,False,False,True,
465,lorazepamum,lorazepam,False,False,True,
466,lorazepamus,lorazepam,False,False,False,
467,tranxene,lorazepam,clorazepate,False,False,
468,ativan,lorazepam,lorazepam,True,True,
469,ativan,lorazepam,lorazepam,True,True,
470,tranquilar,lorazepam,False,False,False,
471,ativan,lorazepam,lorazepam,True,True,
472,orfidal,lorazepam,False,False,True,
473,tranxilium,lorazepam,False,False,False,
474,ansiolin,lorazepam,False,False,False,
475,neurol,lorazepam,False,False,False,
476,tranquilizantes,lorazepam,False,False,False,
477,ativan,lorazepam,lorazepam,True,True,
478,lorazepan,lorazepam,lorazepam,True,True,
479,lorispam,lorazepam,False,False,False,
480,lorazapine,lorazepam,False,False,True,
481,lorazepoxide,lorazepam,False,False,False,
482,lorasepam,lorazepam,False,False,True,
483,azepam,lorazepam,oxazepam,False,True,
484,benzo,lorazepam,False,False,False,
485,benzodiazepine,lorazepam,benzodiazepine,False,False,
486,diazepam,lorazepam,diazepam,False,False,
487,drug,lorazepam,False,False,False,
488,event,lorazepam,False,False,False,
489,hype,lorazepam,False,False,False,
490,ibiza,lorazepam,False,False,False,
491,loraz,lorazepam,chlorhexadol,False,True,
492,lormetazepam,lorazepam,lormetazepam,False,True,
493,meds,lorazepam,False,False,False,
494,meks,lorazepam,False,False,False,
495,midazolam,lorazepam,midazolam,False,False,
496,moggas,lorazepam,False,False,False,
497,myslee,lorazepam,False,False,False,
498,nap,lorazepam,False,False,False,
499,niravam,lorazepam,alprazolam,False,True,
500,orfidal,lorazepam,False,False,True,
501,oxazepam,lorazepam,oxazepam,False,True,
502,pam,lorazepam,melphalan,False,False,
503,panick_attack,lorazepam,False,False,False,
504,pandoras,lorazepam,False,False,False,
505,paral,lorazepam,False,False,False,
506,parox,lorazepam,False,False,False,
507,passies,lorazepam,False,False,False,
508,pax,lorazepam,False,False,False,
509,pemoul,lorazepam,False,False,False,
510,ativan,lorazepam,lorazepam,True,True,
511,lorazeprom,lorazepam,False,False,False,
512,lorazeproms,lorazepam,False,False,False,
513,lorazapam,lorazepam,lorazepam,True,True,
514,lorazapans,lorazepam,False,False,True,
515,lorapazam,lorazepam,False,False,True,
516,lorpazepam,lorazepam,False,False,False,
517,lortab,lorazepam,hydrocodone,False,False,
518,loritab,lorazepam,hydrocodone,False,False,
519,loraz,lorazepam,chlorhexadol,False,True,
520,lorzeapam,lorazepam,False,False,True,
521,lorpazepam,lorazepam,False,False,False,
522,lorsazepam,lorazepam,False,False,False,
523,lorapazepam,lorazepam,False,False,False,
524,loraspam,lorazepam,False,False,True,
525,lorasepam,lorazepam,False,False,True,
526,lorasapam,lorazepam,False,False,True,
527,lorazepane,lorazepam,False,False,True,
528,lorazapine,lorazepam,False,False,True,
529,lorazepamum,lorazepam,False,False,True,
530,lorispam,lorazepam,False,False,False,
531,lorsedam,lorazepam,False,False,False,
532,loraxepam,lorazepam,False,False,True,
533,loramepam,lorazepam,False,False,False,
534,lorapharm,lorazepam,False,False,False,
535,lorasol,lorazepam,False,False,False,
536,lora,lorazepam,chlorhexadol,False,False,
537,ativan,lorazepam,lorazepam,True,True,
538,dalmane,lorazepam,flurazepam,False,False,
539,halcion,lorazepam,triazolam,False,False,
540,klonopin,lorazepam,clonazepam,False,False,
541,librium,lorazepam,chlordiazepoxide,False,False,
542,loraz,lorazepam,chlorhexadol,False,True,
543,valium,lorazepam,diazepam,False,False,
544,lorazapamum,lorazepam,False,False,False,
545,lorazepam,lorazepam,lorazepam,True,True,
546,lorzacepam,lorazepam,False,False,False,
547,lorazapine,lorazepam,False,False,True,
548,lorazolam,lorazepam,False,False,True,
549,loramet,lorazepam,False,False,False,
550,lopam,lorazepam,False,False,False,
551,tranzine,lorazepam,False,False,False,
552,ativan,lorazepam,lorazepam,True,True,
553,lorazapan,lorazepam,lorazepam,True,True,
554,lorazapine,lorazepam,False,False,True,
555,lorabid,lorazepam,False,False,True,
556,loravid,lorazepam,False,False,False,
557,loraz,lorazepam,chlorhexadol,False,True,
558,lorazal,lorazepam,False,False,False,
559,lorazep,lorazepam,False,False,True,
560,lorazepam,lorazepam,lorazepam,True,True,
561,lorazapanes,lorazepam,False,False,False,
562,lorazapas,lorazepam,False,False,False,
563,lorazepan,lorazepam,lorazepam,True,True,
564,lorazepanes,lorazepam,False,False,False,
565,lorazepams,lorazepam,lorazepam,True,True,
566,lorazepan,lorazepam,lorazepam,True,True,
567,lorazepanes,lorazepam,False,False,False,
568,lorazopam,lorazepam,lorazepam,True,True,
569,loripam,lorazepam,False,False,True,
570,lorazepan,lorazepam,lorazepam,True,True,
571,artivan,lorazepam,False,False,True,
572,arazepam,lorazepam,False,False,False,
573,lorazepams,lorazepam,lorazepam,True,True,
574,lorazepine,lorazepam,False,False,True,
575,lorazepate,lorazepam,False,False,False,
576,tranxene,lorazepam,clorazepate,False,False,
577,lorazepan,lorazepam,lorazepam,True,True,
578,lorazeapam,lorazepam,False,False,True,
579,lrazepam,lorazepam,False,False,True,
580,ativan,lorazepam,lorazepam,True,True,
581,ativan,lorazepam,lorazepam,True,True,
582,lor_63,lorazepam,False,False,False,
583,ativan,lorazepam,lorazepam,True,True,
584,tranzene,lorazepam,clorazepate,False,False,
585,loprazolam,lorazepam,loprazolam,False,True,
586,loramet,lorazepam,False,False,False,
587,loraz,lorazepam,chlorhexadol,False,True,
588,orfidal,lorazepam,False,False,True,
589,tavor,lorazepam,False,False,False,
590,noctamide,lorazepam,False,False,False,
591,tranxene,lorazepam,clorazepate,False,False,
592,xanax,lorazepam,alprazolam,False,False,
593,oxazepam,lorazepam,oxazepam,False,True,
594,alprazolam,lorazepam,alprazolam,False,False,
595,diazepam,lorazepam,diazepam,False,False,
596,clonazepam,lorazepam,clonazepam,False,False,
597,zolpidem,lorazepam,zolpidem,False,False,
598,benzodiazepines,lorazepam,benzodiazepine,False,True,
599,benzos,lorazepam,False,False,False,
600,tranxene,lorazepam,clorazepate,False,False,
601,valium,lorazepam,diazepam,False,False,
602,xanax,lorazepam,alprazolam,False,False,
603,tranxene,lorazepam,clorazepate,False,False,
604,xanax,lorazepam,alprazolam,False,False,
605,lorazepan,lorazepam,lorazepam,True,True,
606,lorazepamum,lorazepam,False,False,True,
607,loraquel,lorazepam,False,False,False,
608,lydazepam,lorazepam,False,False,False,
609,orazepam,lorazepam,False,False,True,
610,razepam,lorazepam,False,False,True,
611,lorazepan,lorazepam,lorazepam,True,True,
612,lorapazem,lorazepam,False,False,True,
613,loropazepam,lorazepam,False,False,False,
614,loratazepam,lorazepam,False,False,False,
615,lotazepam,lorazepam,False,False,True,
616,latazepam,lorazepam,False,False,False,
617,lorazepane,lorazepam,False,False,True,
618,lorazepamum,lorazepam,False,False,True,
619,dalmane,lorazepam,flurazepam,False,False,
620,halcion,lorazepam,triazolam,False,False,
621,restoril,lorazepam,temazepam,False,False,
622,tranxene,lorazepam,clorazepate,False,False,
623,xanax,lorazepam,alprazolam,False,False,
624,zopiclone,lorazepam,eszopiclone,False,False,
625,lorabaram,lorazepam,False,False,False,
626,loraxam,lorazepam,False,False,False,
627,loraqam,lorazepam,False,False,False,
628,loraum,lorazepam,False,False,False,
629,lorazan,lorazepam,False,False,True,
630,lorazopam,lorazepam,lorazepam,True,True,
631,ativan,lorazepam,lorazepam,True,True,
632,valium,lorazepam,diazepam,False,False,
633,xanax,lorazepam,alprazolam,False,False,
