,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label,name filter,google filter,filter prediction
101,fentyll,fentanyl,False,False,False,,-1,False,True,False,False
102,fentional,fentanyl,False,False,True,,1,True,True,True,True
103,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
104,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
105,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
106,fentyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
107,fentanoid,fentanyl,False,False,False,,-1,?,True,False,False
108,fent_then_yl,fentanyl,False,False,True,,1,False,True,True,True
109,(rs)-1-(2-phenylethyl)-4-(n-propionylaminomethyl)piperidine,fentanyl,False,False,False,,-1,False,True,False,False
110,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
111,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
112,dalessio,fentanyl,False,False,False,,-1,False,True,False,False
113,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
114,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
115,fentanest,fentanyl,False,False,True,,1,True,True,True,True
116,fentanils,fentanyl,False,False,True,,1,True,True,True,True
117,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
118,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
119,fentyal,fentanyl,dicyclomine,False,True,,1,True,True,True,True
120,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
121,fentayl,fentanyl,fentanyl,True,True,,1,True,True,True,True
122,fentylan,fentanyl,False,False,True,,1,True,True,True,True
123,fentylen,fentanyl,False,False,True,,1,True,True,True,True
124,fentylin,fentanyl,False,False,True,,1,True,True,True,True
125,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
126,tremfentanyl,fentanyl,False,False,False,,-1,False,True,False,False
127,versed,fentanyl,midazolam,False,False,,-1,False,True,False,False
128,sevoflurane,fentanyl,sevoflurane,False,True,,5,False,False,True,False
129,pentafentanyl,fentanyl,False,False,True,,1,False,True,True,True
130,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
131,rascal,fentanyl,False,False,False,,-1,False,True,False,False
132,skipper,fentanyl,False,False,False,,-1,False,True,False,False
133,dolophine,fentanyl,methadone,False,False,,-1,False,True,False,False
134,methadone,fentanyl,methadone,False,False,,-1,False,False,False,False
135,fentyna,fentanyl,False,False,True,,1,False,True,True,True
136,pentyl_fentanyl,fentanyl,False,True,True,,2,True,True,True,True
137,phenyl_fentanyl,fentanyl,False,True,True,,1,True,True,True,True
138,acetylfentanyl,fentanyl,False,False,True,,3,False,True,True,True
139,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
140,invoke,fentanyl,False,False,False,,-1,False,True,False,False
141,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
142,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
143,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
144,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
145,fentaoid,fentanyl,False,False,False,,-1,False,True,False,False
146,fentoroid,fentanyl,False,False,False,,-1,False,True,False,False
147,fentanal,fentanyl,fentanyl,True,True,,1,True,True,True,True
148,fentaplix,fentanyl,False,False,False,,-1,False,True,False,False
149,fentatabs,fentanyl,False,False,False,,-1,False,True,False,False
150,fentatime,fentanyl,False,False,False,,-1,False,True,False,False
151,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
152,fentanoid,fentanyl,False,False,False,,-1,?,True,False,False
153,fenatyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
154,fentyll,fentanyl,False,False,False,,-1,False,True,False,False
155,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
156,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
157,fanyl,fentanyl,False,False,True,,3,False,True,True,True
158,transdermal,fentanyl,False,False,False,,-1,False,True,False,False
159,lozenge,fentanyl,False,False,False,,-1,True,True,False,False
160,bevat,fentanyl,False,False,False,,-1,False,True,False,False
161,hit,fentanyl,False,False,False,,-1,False,True,False,False
162,invloed,fentanyl,False,False,False,,-1,False,True,False,False
163,opioïde,fentanyl,False,False,True,,5,?,True,True,True
164,pijnstiller,fentanyl,False,False,False,,-1,?,True,False,False
165,synthetische_heroïne,fentanyl,False,False,True,,4,True,True,True,True
166,turbo,fentanyl,False,False,False,,-1,False,True,False,False
167,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
168,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
169,fentanest,fentanyl,False,False,True,,1,True,True,True,True
170,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
171,anesthetic,fentanyl,procaine,False,False,,-1,False,True,False,False
172,analgesic,fentanyl,False,False,True,,6,True,True,True,True
173,fentinas,fentanyl,False,False,True,,1,False,True,True,True
174,fentiyol,fentanyl,False,False,False,,-1,False,True,False,False
175,fidrotset,fentanyl,False,False,False,,-1,False,True,False,False
176,findatal,fentanyl,False,False,False,,-1,False,True,False,False
177,finleptal,fentanyl,False,False,False,,-1,False,True,False,False
178,fivdal,fentanyl,False,False,False,,-1,False,True,False,False
179,flupental,fentanyl,False,False,False,,-1,False,True,False,False
180,fentanylwet,fentanyl,False,False,True,,1,True,True,True,True
181,fentanyl-neerslag,fentanyl,False,False,False,,-1,False,True,False,False
182,cipryl,fentanyl,False,False,False,,-1,False,True,False,False
183,colforsin,fentanyl,colforsin,False,False,,-1,False,False,False,False
184,denafil,fentanyl,False,False,False,,-1,False,True,False,False
185,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
186,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
187,ultiva,fentanyl,False,False,True,,2,False,True,True,True
188,alfentanil,fentanyl,alfentanil,False,True,,1,False,False,True,False
189,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
190,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
191,fentanyl_analogue,fentanyl,False,True,True,,1,False,True,True,True
192,fentanyl_derivative,fentanyl,False,True,True,,1,False,True,True,True
193,fentanyl_ingredient,fentanyl,False,True,True,,1,False,True,True,True
194,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
195,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
196,fentanyl_acid,fentanyl,False,True,True,,1,False,True,True,True
197,fentanest,fentanyl,False,False,True,,1,True,True,True,True
198,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
199,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
200,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
201,fealtyn,fentanyl,False,False,False,,-1,False,True,False,False
202,fentaon,fentanyl,False,False,True,,9,False,True,True,True
203,fentril,fentanyl,False,False,False,,-1,False,True,False,False
204,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
205,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
206,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
207,fentanyl_transdermal_system,fentanyl,False,True,True,,1,True,True,True,True
208,duragesic-100,fentanyl,False,False,True,,1,True,True,True,True
209,duragesic-75,fentanyl,False,False,True,,2,True,True,True,True
210,sublimaze_injected_solution,fentanyl,False,False,True,,1,True,True,True,True
211,fentanest,fentanyl,False,False,True,,1,True,True,True,True
212,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
213,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
214,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
215,fenatyl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
216,fentanel,fentanyl,False,False,True,,1,True,True,True,True
217,fentrnyl,fentanyl,False,False,True,,1,True,True,True,True
218,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
219,lollipop,fentanyl,False,False,False,,-1,True,True,False,False
220,transmucosal,fentanyl,False,False,True,,1,True,True,True,True
221,sublingual,fentanyl,False,False,False,,-1,False,True,False,False
222,lozenge,fentanyl,False,False,False,,-1,True,True,False,False
223,buccal,fentanyl,False,False,False,,-1,False,True,False,False
224,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
225,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
226,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
227,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
228,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
229,pursuer,fentanyl,False,False,False,,-1,False,True,False,False
230,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
231,fentylline,fentanyl,False,False,False,,-1,False,True,False,False
232,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
233,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
234,innovar,fentanyl,False,False,False,,-1,True,True,False,False
235,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
236,numorphan,fentanyl,oxymorphone,False,False,,-1,False,True,False,False
237,onsolis,fentanyl,False,False,True,,1,True,True,True,True
238,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
239,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
240,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
241,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
242,effentora,fentanyl,False,False,True,,1,True,True,True,True
243,ivalmid,fentanyl,False,False,False,,-1,False,True,False,False
244,r-evolukit,fentanyl,False,False,False,,-1,False,True,False,False
245,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
246,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
247,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
248,suffentanyl,fentanyl,False,False,False,,-1,False,True,False,False
249,transdermal_fentanyl,fentanyl,False,True,True,,1,True,True,True,True
250,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
251,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
252,inspect,fentanyl,False,False,False,,-1,False,True,False,False
253,fentanoyl,fentanyl,False,False,True,,1,True,True,True,True
254,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
255,fenantyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
256,fentenyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
257,fenethyl,fentanyl,False,False,True,,2,True,True,True,True
258,pentanyl,fentanyl,False,False,True,,1,True,True,True,True
259,pentylfentanyl,fentanyl,False,False,False,,-1,False,True,False,False
260,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
261,heptanal,fentanyl,False,False,False,,-1,False,True,False,False
262,fentanel,fentanyl,False,False,True,,1,True,True,True,True
263,fentayl,fentanyl,fentanyl,True,True,,1,True,True,True,True
264,fentayle,fentanyl,False,False,True,,1,True,True,True,True
265,feentanal,fentanyl,False,False,False,,-1,False,True,False,False
266,q4i,fentanyl,False,False,False,,-1,False,True,False,False
267,fentan-4-yl,fentanyl,False,False,True,,1,True,True,True,True
268,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
269,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
270,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
271,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
272,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
273,subsys,fentanyl,fentanyl,True,True,,3,True,True,True,True
274,innovar-61,fentanyl,False,False,False,,-1,False,True,False,False
275,fentenol,fentanyl,False,False,True,,1,True,True,True,True
276,furanyl_fentanyl,fentanyl,False,True,True,,1,False,True,True,True
277,3-methylfentanyl,fentanyl,3-methylfentanyl,False,True,,1,False,False,True,False
278,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
279,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
280,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
281,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
282,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
283,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
284,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
285,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
286,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
287,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
288,fenta,fentanyl,pentaerythritol_tetranitrate,False,True,,1,True,True,True,True
289,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
290,fentynl,fentanyl,dicyclomine,False,True,,1,True,True,True,True
291,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
292,transdermal,fentanyl,False,False,False,,-1,False,True,False,False
293,intranasal,fentanyl,False,False,False,,-1,False,True,False,False
294,buccal,fentanyl,False,False,False,,-1,False,True,False,False
295,rectal,fentanyl,False,False,False,,-1,False,True,False,False
296,fentanest,fentanyl,False,False,True,,1,True,True,True,True
297,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
298,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
299,wildnil,fentanyl,False,False,True,,2,True,True,True,True
300,dalaudid,fentanyl,hydromorphone,False,False,,-1,False,True,False,False
301,fentanyl_powder,fentanyl,False,True,True,,1,True,True,True,True
302,fentanyl_pills,fentanyl,False,True,True,,1,True,True,True,True
303,fentanyl_tablets,fentanyl,False,True,True,,1,True,True,True,True
304,fentanyl_liquid,fentanyl,False,True,True,,1,True,True,True,True
305,supraspinal,fentanyl,False,False,False,,-1,True,True,False,False
306,p_fentanyl,fentanyl,False,True,True,,1,False,True,True,True
307,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
308,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
309,astramorph,fentanyl,False,False,False,,-1,False,True,False,False
310,duragesic-100,fentanyl,False,False,True,,1,True,True,True,True
311,durogesic,fentanyl,fentanyl,True,True,,2,True,True,True,True
312,mylan-fentanyl,fentanyl,False,False,True,,1,True,True,True,True
313,generic_fentanyl,fentanyl,False,True,True,,2,True,True,True,True
314,brand_name_fentanyl,fentanyl,False,True,True,,1,True,True,True,True
315,fentanate,fentanyl,False,False,False,,-1,False,True,False,False
316,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
317,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
318,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
319,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
320,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
321,fentanyl_patch,fentanyl,fentanyl,True,True,,1,True,True,True,True
322,sufentanyl,fentanyl,sufentanil,False,True,,2,False,True,True,True
323,fentanyl_derivative,fentanyl,False,True,True,,1,False,True,True,True
324,fentanyl_analogue,fentanyl,False,True,True,,1,False,True,True,True
325,fentanyl_drug,fentanyl,False,True,True,,1,True,True,True,True
326,fentanyl_related_compound,fentanyl,False,True,True,,5,False,True,True,True
327,fentanyl_variant,fentanyl,False,True,True,,1,False,True,True,True
328,fentynyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
329,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
330,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
331,instant,fentanyl,False,False,False,,-1,False,True,False,False
332,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
333,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
334,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
335,fentaanyl,fentanyl,False,False,True,,1,True,True,True,True
336,fentanyle,fentanyl,False,False,True,,1,True,True,True,True
337,fentanyla,fentanyl,False,False,True,,7,True,True,True,True
338,fentanyllah,fentanyl,False,False,False,,-1,False,True,False,False
339,fentapin,fentanyl,False,False,False,,-1,False,True,False,False
340,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
341,supernumerary,fentanyl,False,False,False,,-1,False,True,False,False
342,puerperal,fentanyl,False,False,False,,-1,False,True,False,False
343,stellate,fentanyl,stearic_acid,False,False,,-1,False,True,False,False
344,apical,fentanyl,False,False,False,,-1,False,True,False,False
345,perioperative,fentanyl,False,False,False,,-1,False,True,False,False
346,transdermal,fentanyl,False,False,False,,-1,False,True,False,False
347,intranasal,fentanyl,False,False,False,,-1,False,True,False,False
348,buccal,fentanyl,False,False,False,,-1,False,True,False,False
349,inhalation,fentanyl,False,False,False,,-1,False,True,False,False
350,rectal,fentanyl,False,False,False,,-1,False,True,False,False
351,ftntenyl,fentanyl,False,False,False,,-1,False,True,False,False
352,fenanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
353,fentolat,fentanyl,False,False,False,,-1,False,True,False,False
354,fent\8._fenatyl,fentanyl,False,False,True,,1,False,True,True,True
355,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
356,finantel,fentanyl,False,False,True,,3,False,True,True,True
357,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
358,effentora,fentanyl,False,False,True,,1,True,True,True,True
359,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
360,fenty,fentanyl,False,False,True,,8,True,True,True,True
361,fenyl,fentanyl,False,False,False,,-1,True,True,False,False
362,fentanyl_hydrochloride,fentanyl,False,True,True,,1,True,True,True,True
363,analgesic,fentanyl,False,False,True,,6,True,True,True,True
364,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
365,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
366,emintorex,fentanyl,False,False,False,,-1,False,True,False,False
367,flunitrazepam,fentanyl,flunitrazepam,False,False,,-1,False,False,False,False
368,carfentanil,fentanyl,carfentanil,False,True,,4,False,False,True,False
369,lofentanil,fentanyl,lofentanil,False,True,,1,False,False,True,False
370,sufentanil,fentanyl,sufentanil,False,True,,1,False,False,True,False
371,fentanyl_citrate,fentanyl,fentanyl,True,True,,1,True,True,True,True
372,fentora,fentanyl,fentanyl,True,True,,4,True,True,True,True
373,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
374,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
375,sensoril,fentanyl,False,False,False,,-1,False,True,False,False
376,abstral,fentanyl,fentanyl,True,True,,3,True,True,True,True
377,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
378,fentyler,fentanyl,False,False,False,,-1,False,True,False,False
379,fental,fentanyl,albendazole,False,True,,1,True,True,True,True
380,fentanese,fentanyl,False,False,False,,-1,False,True,False,False
381,fent,fentanyl,False,False,True,,2,True,True,True,True
382,fentol,fentanyl,False,False,True,,1,False,True,True,True
383,fent_cops,fentanyl,False,False,True,,1,False,True,True,True
384,fentac,fentanyl,False,False,False,,-1,False,True,False,False
385,fenta_anesthesia,fentanyl,False,False,True,,1,False,True,True,True
386,fentacaps,fentanyl,False,False,False,,-1,False,True,False,False
387,fentagon,fentanyl,False,False,False,,-1,False,True,False,False
388,fentadur,fentanyl,False,False,True,,1,True,True,True,True
389,fentadyl,fentanyl,False,False,True,,1,True,True,True,True
390,fentahydro,fentanyl,False,False,False,,-1,False,True,False,False
391,fentaindole,fentanyl,False,False,False,,-1,False,True,False,False
392,fentanil,fentanyl,fentanyl,True,True,,1,True,True,True,True
393,fentanyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
394,fentanyl_analogues,fentanyl,False,True,True,,1,False,True,True,True
395,fentanyl_derivatives,fentanyl,False,True,True,,1,False,True,True,True
396,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
397,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
398,actiq,fentanyl,fentanyl,True,True,,1,True,True,True,True
399,effentora,fentanyl,False,False,True,,1,True,True,True,True
400,instradol,fentanyl,False,False,False,,-1,False,True,False,False
401,wildnil,fentanyl,False,False,True,,2,True,True,True,True
402,available_in_other_formulations,fentanyl,False,False,True, drug,6,False,True,True,True
403,fentedyne,fentanyl,False,False,False,,-1,False,True,False,False
404,fentynal,fentanyl,fentanyl,True,True,,1,True,True,True,True
405,fentyline,fentanyl,False,False,False,,-1,True,True,False,False
406,fentynyl,fentanyl,fentanyl,True,True,,1,True,True,True,True
407,fentanylum,fentanyl,False,False,True,,2,True,True,True,True
408,fentyal,fentanyl,dicyclomine,False,True,,1,True,True,True,True
409,fentol,fentanyl,False,False,True,,1,False,True,True,True
410,talwin,fentanyl,pentazocine,False,False,,-1,False,True,False,False
411,duragesic,fentanyl,fentanyl,True,True,,1,True,True,True,True
412,sublimaze,fentanyl,mercuric_chloride,False,True,,4,True,True,True,True
413,jurnista,fentanyl,hydromorphone,False,False,,-1,False,True,False,False
414,abropernol,fentanyl,False,False,False,,-1,False,True,False,False
415,clorotepin,fentanyl,False,False,False,,-1,False,True,False,False
