,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,Google,Google added token,Google depth,manual label
96,xanax,alprazolam,alprazolam,True,True,,1,True
97,alzolam,alprazolam,False,False,True,,5,True
98,zoloft,alprazolam,sertraline,False,False,,-1,False
99,ativan,alprazolam,lorazepam,False,False,,-1,False
100,klonopin,alprazolam,clonazepam,False,True,,14,False
101,valium,alprazolam,diazepam,False,True,,9,False
102,lorazepam,alprazolam,lorazepam,False,False,,-1,False
103,clonazepam,alprazolam,clonazepam,False,True,,21,False
104,zolpam,alprazolam,False,False,True,,8,True
105,zoloft,alprazolam,sertraline,False,False,,-1,False
106,benzodiazepine,alprazolam,benzodiazepine,False,True,,4,?
107,bars,alprazolam,False,False,True, pill,1,True
108,xaans,alprazolam,False,False,False,,-1,False
109,xannies,alprazolam,False,False,True, pill,1,True
110,alpraz,alprazolam,False,False,True,,1,True
111,alprazolan,alprazolam,alprazolam,True,True,,7,True
112,alprazolane,alprazolam,False,False,True,,11,False
113,alprazolam,alprazolam,alprazolam,True,True,,1,True
114,xanax,alprazolam,alprazolam,True,True,,1,True
115,zapizolam,alprazolam,False,False,True,,20,False
116,alzapam,alprazolam,False,False,True,,2,False
117,prazolam,alprazolam,alprazolam,True,True,,4,True
118,frontal,alprazolam,False,False,True, drug,6,True
119,neuryl,alprazolam,False,False,True, pill,18,False
120,tranquilizers,alprazolam,False,False,True,,4,?
121,downers,alprazolam,False,False,False,,-1,?
122,lorazepam,alprazolam,lorazepam,False,False,,-1,False
123,aplrazolam,alprazolam,alprazolam,True,True,,1,True
124,azalea,alprazolam,False,False,False,,-1,False
125,azygos,alprazolam,False,False,False,,-1,False
126,citalopram,alprazolam,citalopram,False,True, slang,9,False
127,diazepam,alprazolam,diazepam,False,True, drug,6,False
128,lorazepam,alprazolam,lorazepam,False,False,,-1,False
129,oxazepam,alprazolam,oxazepam,False,False,,-1,False
130,temazepam,alprazolam,temazepam,False,True, pill,16,False
131,xanax,alprazolam,alprazolam,True,True,,1,True
132,xanax,alprazolam,alprazolam,True,True,,1,True
133,alpraolam,alprazolam,alprazolam,True,True,,3,True
134,alprazalam,alprazolam,alprazolam,True,True,,1,True
135,xanor,alprazolam,alprazolam,True,True,,2,True
136,zanapam,alprazolam,False,False,True,,8,True
137,alpraz_,alprazolam,False,False,True,,1,True
138,xanor,alprazolam,alprazolam,True,True,,2,True
139,zanex,alprazolam,False,False,True,,9,True
140,ativan,alprazolam,lorazepam,False,False,,-1,False
141,klonopin,alprazolam,clonazepam,False,True,,14,False
142,valium,alprazolam,diazepam,False,True,,9,False
143,zoloft,alprazolam,sertraline,False,False,,-1,False
144,seroquel,alprazolam,quetiapine,False,False,,-1,False
145,abilify,alprazolam,aripiprazole,False,False,,-1,False
146,trazodone,alprazolam,trazodone,False,True, drug,9,False
147,alphex,alprazolam,False,False,True, pill,7,False
148,alzolam,alprazolam,False,False,True,,5,True
149,tranxene,alprazolam,clorazepate,False,True, pill,28,False
150,xanax,alprazolam,alprazolam,True,True,,1,True
151,azanol,alprazolam,False,False,False,,-1,False
152,alpranon,alprazolam,False,False,True,,7,False
153,alpron,alprazolam,False,False,True, pill,10,True
154,alprozalam,alprazolam,alprazolam,True,True,,1,True
155,anxiolitic,alprazolam,False,False,True, slang,6,?
156,atarax,alprazolam,hydroxyzine,False,True, pill,6,False
157,benzos,alprazolam,False,False,True, pill,3,?
158,blue,alprazolam,False,False,False,,-1,False
159,clonazepam,alprazolam,clonazepam,False,True,,21,False
160,diazepam,alprazolam,diazepam,False,True, drug,6,False
161,einstein,alprazolam,False,False,False,,-1,False
162,zoloft,alprazolam,sertraline,False,False,,-1,False
163,alprazolamum,alprazolam,False,False,True,,4,True
164,alprazolamus,alprazolam,False,False,True,,1,False
165,ativan,alprazolam,lorazepam,False,False,,-1,False
166,klonopin,alprazolam,clonazepam,False,True,,14,False
167,valium,alprazolam,diazepam,False,True,,9,False
168,lorazepam,alprazolam,lorazepam,False,False,,-1,False
169,clonazepam,alprazolam,clonazepam,False,True,,21,False
170,tramadol,alprazolam,tramadol,False,False,,-1,False
171,zolpidem,alprazolam,zolpidem,False,False,,-1,False
172,xanax,alprazolam,alprazolam,True,True,,1,True
173,xanor,alprazolam,alprazolam,True,True,,2,True
174,alpraz,alprazolam,False,False,True,,1,True
175,alzolam,alprazolam,False,False,True,,5,True
176,Calories,alprazolam,False,False,False,,-1,False
177,zoloft,alprazolam,sertraline,False,False,,-1,False
178,paxil,alprazolam,paroxetine,False,False,,-1,False
179,serenyl,alprazolam,False,False,False,,-1,False
180,tranqyl,alprazolam,False,False,False,,-1,False
181,xanax,alprazolam,alprazolam,True,True,,1,True
182,ativan,alprazolam,lorazepam,False,False,,-1,False
183,elprazolam,alprazolam,False,False,True,,6,False
184,ilprazolam,alprazolam,False,False,True,,1,True
185,loprazolam,alprazolam,loprazolam,False,True, slang,3,False
186,olazepam,alprazolam,False,False,False,,-1,False
187,xanax,alprazolam,alprazolam,True,True,,1,True
188,xanor,alprazolam,alprazolam,True,True,,2,True
189,zanapam,alprazolam,False,False,True,,8,True
190,zolam,alprazolam,False,False,True,,2,True
191,prazosin,alprazolam,prazosin,False,False,,-1,False
192,zan,alprazolam,False,False,True, pill,1,True
193,zans,alprazolam,False,False,True, pill,15,True
194,ativan,alprazolam,lorazepam,False,False,,-1,False
195,klonopin,alprazolam,clonazepam,False,True,,14,False
196,valium,alprazolam,diazepam,False,True,,9,False
197,lorazepam,alprazolam,lorazepam,False,False,,-1,False
198,clonazepam,alprazolam,clonazepam,False,True,,21,False
199,xano,alprazolam,False,False,True, pill,24,False
200,xanos,alprazolam,False,False,True, pill,1,False
201,alazolam,alprazolam,False,False,True,,1,True
202,azolam,alprazolam,acetazolamide,False,True,,6,True
203,zolam,alprazolam,False,False,True,,2,True
204,razolam,alprazolam,False,False,True,,4,True
205,flumazenil,alprazolam,flumazenil,False,False,,-1,False
206,anxitral,alprazolam,False,False,False,,-1,False
207,alfazolam,alprazolam,False,False,True,,1,True
208,trankimazin,alprazolam,False,False,True,,5,True
209,fluorophen,alprazolam,False,False,False,,-1,False
210,fnzx,alprazolam,False,False,False,,-1,False
211,nxnzx,alprazolam,False,False,False,,-1,False
212,fsnx,alprazolam,False,False,False,,-1,False
213,fxnx,alprazolam,False,False,False,,-1,False
214,annx,alprazolam,False,False,True, pill,1,False
215,afnx,alprazolam,False,False,False,,-1,False
216,xafnx,alprazolam,False,False,False,,-1,False
217,alprazom,alprazolam,False,False,True,,1,True
218,alprazolan,alprazolam,alprazolam,True,True,,7,True
219,alprazolum,alprazolam,False,False,True,,3,True
220,azolam,alprazolam,acetazolamide,False,True,,6,True
221,blue_pill,alprazolam,False,False,True, drug,9,False
222,zanex,alprazolam,False,False,True,,9,True
223,pfffrazolam,alprazolam,False,False,False,,-1,False
224,xanax,alprazolam,alprazolam,True,True,,1,True
225,zolam,alprazolam,False,False,True,,2,True
226,alzolam,alprazolam,False,False,True,,5,True
227,alpram,alprazolam,False,False,True,,2,True
228,alprax,alprazolam,alprazolam,False,True,,3,True
229,alpraz,alprazolam,False,False,True,,1,True
230,convoy,alprazolam,False,False,False,,-1,False
231,zanex,alprazolam,False,False,True,,9,True
232,alazopam,alprazolam,False,False,True,,1,True
233,alprazalam,alprazolam,alprazolam,True,True,,1,True
234,alprazolan,alprazolam,alprazolam,True,True,,7,True
235,xanor,alprazolam,alprazolam,True,True,,2,True
236,zoldac,alprazolam,False,False,True,,9,True
237,calmpose,alprazolam,False,False,True,,29,False
238,alpralozam,alprazolam,alprazolam,True,True,,8,True
239,xanax,alprazolam,alprazolam,True,True,,1,True
240,alphaprazolem,alprazolam,False,False,False,,-1,False
241,xanor,alprazolam,alprazolam,True,True,,2,True
242,benzodiazepines,alprazolam,benzodiazepine,False,True, pill,1,?
243,zoloft,alprazolam,sertraline,False,False,,-1,False
244,pax,alprazolam,False,False,True, drug,4,?
245,valium,alprazolam,diazepam,False,True,,9,False
246,triazolam,alprazolam,triazolam,False,True, pill,11,False
247,frontin,alprazolam,False,False,True,,29,True
248,alzolam,alprazolam,False,False,True,,5,True
249,ipranol,alprazolam,False,False,False,,-1,False
250,neupax,alprazolam,False,False,True,,3,True
251,selincro,alprazolam,nalmefene,False,False,,-1,False
252,oxazepam,alprazolam,oxazepam,False,False,,-1,False
253,tranxilium,alprazolam,False,False,True, pill,17,False
254,alprazloam,alprazolam,False,False,True,,3,True
255,alprazoloma,alprazolam,False,False,False,,-1,False
256,laprazolam,alprazolam,False,False,True,,13,False
257,olprazolam,alprazolam,False,False,True,,8,False
258,plarazolam,alprazolam,False,False,False,,-1,False
259,alofezolam,alprazolam,False,False,False,,-1,False
260,serax,alprazolam,oxazepam,False,False,,-1,False
261,alprozalam,alprazolam,alprazolam,True,True,,1,True
262,alprazolan,alprazolam,alprazolam,True,True,,7,True
263,alprazom,alprazolam,False,False,True,,1,True
264,xanafil,alprazolam,False,False,False,,-1,False
265,alpram,alprazolam,False,False,True,,2,True
266,zacalm,alprazolam,False,False,False,,-1,False
267,zoloft,alprazolam,sertraline,False,False,,-1,False
268,prazosin,alprazolam,prazosin,False,False,,-1,False
269,buspirone,alprazolam,buspirone,False,False,,-1,False
270,serentyl,alprazolam,False,False,False,,-1,False
271,talwin,alprazolam,pentazocine,False,True, drug,21,False
272,tazanex,alprazolam,False,False,False,,-1,False
273,tofranil,alprazolam,imipramine,False,False,,-1,False
274,zoloft,alprazolam,sertraline,False,False,,-1,False
275,tranxene,alprazolam,clorazepate,False,True, pill,28,False
276,oxazepam,alprazolam,oxazepam,False,False,,-1,False
277,xanax,alprazolam,alprazolam,True,True,,1,True
278,zanaprin,alprazolam,False,False,False,,-1,False
279,flexeril,alprazolam,cyclobenzaprine,False,False,,-1,False
280,valium,alprazolam,diazepam,False,True,,9,False
281,ativan,alprazolam,lorazepam,False,False,,-1,False
282,klonopin,alprazolam,clonazepam,False,True,,14,False
283,librium,alprazolam,chlordiazepoxide,False,True,,23,False
284,restoril,alprazolam,temazepam,False,True, pill,15,False
285,alpram,alprazolam,False,False,True,,2,True
286,xanax,alprazolam,alprazolam,True,True,,1,True
287,ativan,alprazolam,lorazepam,False,False,,-1,False
288,lorazepam,alprazolam,lorazepam,False,False,,-1,False
289,clonazepam,alprazolam,clonazepam,False,True,,21,False
290,diazepam,alprazolam,diazepam,False,True, drug,6,False
291,ativan,alprazolam,lorazepam,False,False,,-1,False
292,klonopin,alprazolam,clonazepam,False,True,,14,False
293,lorazepam,alprazolam,lorazepam,False,False,,-1,False
294,valium,alprazolam,diazepam,False,True,,9,False
295,zoloft,alprazolam,sertraline,False,False,,-1,False
296,prozac,alprazolam,fluoxetine,False,False,,-1,False
297,paxil,alprazolam,paroxetine,False,False,,-1,False
298,zoloft,alprazolam,sertraline,False,False,,-1,False
299,zanies,alprazolam,False,False,True, pill,2,True
300,zolofts,alprazolam,sertraline,False,False,,-1,False
301,ativan,alprazolam,lorazepam,False,False,,-1,False
302,klonopin,alprazolam,clonazepam,False,True,,14,False
303,valium,alprazolam,diazepam,False,True,,9,False
304,lorazepam,alprazolam,lorazepam,False,False,,-1,False
305,clonazepam,alprazolam,clonazepam,False,True,,21,False
306,z-bars,alprazolam,False,False,True,,8,True
307,ativan,alprazolam,lorazepam,False,False,,-1,False
308,alpazolam,alprazolam,alprazolam,True,True,,1,True
309,zanax,alprazolam,alprazolam,True,True,,8,True
310,alpraz,alprazolam,False,False,True,,1,True
311,alprazolam,alprazolam,alprazolam,True,True,,1,True
312,alprazolam,alprazolam,alprazolam,True,True,,1,True
313,zoldac,alprazolam,False,False,True,,9,True
314,tofranil,alprazolam,imipramine,False,False,,-1,False
315,alloprazolam,alprazolam,False,False,False,,-1,False
316,aniprazolam,alprazolam,False,False,False,,-1,False
317,aprazolam,alprazolam,alprazolam,True,True,,4,True
318,bromazepam,alprazolam,bromazepam,False,True,,24,False
319,camazepam,alprazolam,False,False,True,,27,False
320,clonazepam,alprazolam,clonazepam,False,True,,21,False
321,diazepam,alprazolam,diazepam,False,True, drug,6,False
322,estazolam,alprazolam,estazolam,False,False,,-1,False
323,flurazepam,alprazolam,flurazepam,False,False,,-1,False
324,halazepam,alprazolam,halazepam,False,True, pill,9,False
325,lorazepam,alprazolam,lorazepam,False,False,,-1,False
326,midazolam,alprazolam,midazolam,False,True, slang,15,False
327,nitrazepam,alprazolam,nitrazepam,False,False,,-1,False
328,nordazepam,alprazolam,nordazepam,False,True, pill,19,False
329,oxazepam,alprazolam,oxazepam,False,False,,-1,False
330,prazepam,alprazolam,prazepam,False,True,,17,False
331,quazepam,alprazolam,quazepam,False,True, slang,4,False
332,temazepam,alprazolam,temazepam,False,True, pill,16,False
333,triazolam,alprazolam,triazolam,False,True, pill,11,False
334,Goan_Babool,alprazolam,False,False,False,,-1,False
335,Indian_Lotus,alprazolam,False,False,False,,-1,False
336,Sacred_Parsley,alprazolam,False,False,False,,-1,False
337,Passion_Flower,alprazolam,passiflora_incarnata_flower,False,False,,-1,False
338,White_Lotus,alprazolam,False,False,False,,-1,False
339,xanax,alprazolam,alprazolam,True,True,,1,True
340,axanex,alprazolam,False,False,True, pill,1,False
341,xanax,alprazolam,alprazolam,True,True,,1,True
342,alp,alprazolam,False,False,True, pill,1,True
343,alpraz,alprazolam,False,False,True,,1,True
344,alprazolam,alprazolam,alprazolam,True,True,,1,True
345,zanex,alprazolam,False,False,True,,9,True
346,xanax,alprazolam,alprazolam,True,True,,1,True
347,z-bars,alprazolam,False,False,True,,8,True
348,VAL_(brand_name),alprazolam,False,False,False,,-1,False
349,Niravam_(brand_name),alprazolam,False,True,True,,3,True
350,Xanor_(brand_name),alprazolam,False,True,True,,1,True
351,Tranax_(brand_name),alprazolam,False,False,True,,9,True
352,zoloft,alprazolam,sertraline,False,False,,-1,False
353,prozac,alprazolam,fluoxetine,False,False,,-1,False
354,tranxene,alprazolam,clorazepate,False,True, pill,28,False
355,librium,alprazolam,chlordiazepoxide,False,True,,23,False
356,serax,alprazolam,oxazepam,False,False,,-1,False
357,ativan,alprazolam,lorazepam,False,False,,-1,False
358,valium,alprazolam,diazepam,False,True,,9,False
359,klonopin,alprazolam,clonazepam,False,True,,14,False
360,nerux,alprazolam,False,False,False,,-1,False
361,ativan,alprazolam,lorazepam,False,False,,-1,False
362,klonopin,alprazolam,clonazepam,False,True,,14,False
363,librium,alprazolam,chlordiazepoxide,False,True,,23,False
364,restoril,alprazolam,temazepam,False,True, pill,15,False
365,serax,alprazolam,oxazepam,False,False,,-1,False
366,tranxene,alprazolam,clorazepate,False,True, pill,28,False
367,xanax,alprazolam,alprazolam,True,True,,1,True
368,Alprozam,alprazolam,alprazolam,True,True,,8,True
369,alpram,alprazolam,False,False,True,,2,True
370,alpraz,alprazolam,False,False,True,,1,True
371,alzolam,alprazolam,False,False,True,,5,True
372,anax,alprazolam,False,False,True, pill,1,True
373,bars,alprazolam,False,False,True, pill,1,True
374,xanax,alprazolam,alprazolam,True,True,,1,True
375,a-praz,alprazolam,False,False,True, pill,5,False
376,alprah,alprazolam,False,False,True,,7,False
377,alpram,alprazolam,False,False,True,,2,True
378,alpras,alprazolam,False,False,True,,27,True
379,alprax,alprazolam,alprazolam,False,True,,3,True
380,prazolan,alprazolam,False,False,True,,12,False
381,axolam,alprazolam,False,False,True,,2,False
382,anxel,alprazolam,False,False,False,,-1,False
383,calmepam,alprazolam,False,False,True,,16,False
384,dalcipram,alprazolam,False,False,False,,-1,False
385,detoxipam,alprazolam,False,False,False,,-1,False
386,elciram,alprazolam,False,False,False,,-1,False
387,alpax,alprazolam,alprazolam,True,True,,12,True
388,zanax,alprazolam,alprazolam,True,True,,8,True
389,alazeifam,alprazolam,False,False,False,,-1,False
390,afloxate,alprazolam,False,False,False,,-1,False
391,ativan,alprazolam,lorazepam,False,False,,-1,False
392,avanza,alprazolam,mirtazapine,False,False,,-1,False
393,calmpose,alprazolam,False,False,True,,29,False
394,dalmane,alprazolam,flurazepam,False,False,,-1,False
395,desmosed,alprazolam,False,False,False,,-1,False
396,estazolam,alprazolam,estazolam,False,False,,-1,False
397,lorazepam,alprazolam,lorazepam,False,False,,-1,False
398,midazolam,alprazolam,midazolam,False,True, slang,15,False
399,niravam,alprazolam,alprazolam,True,True,,2,True
400,oxazepam,alprazolam,oxazepam,False,False,,-1,False
401,prazepam,alprazolam,prazepam,False,True,,17,False
402,quazepam,alprazolam,quazepam,False,True, slang,4,False
403,serax,alprazolam,oxazepam,False,False,,-1,False
404,temazepam,alprazolam,temazepam,False,True, pill,16,False
405,triazolam,alprazolam,triazolam,False,True, pill,11,False
406,xanax,alprazolam,alprazolam,True,True,,1,True
407,atavil,alprazolam,False,False,False,,-1,False
408,neo-quiOt,alprazolam,False,False,False,,-1,False
409,xanor,alprazolam,alprazolam,True,True,,2,True
410,optin,alprazolam,False,False,False,,-1,False
411,tranquilizers,alprazolam,False,False,True,,4,?
412,anti-anxiety_medication,alprazolam,False,False,True,,10,?
413,sedative,alprazolam,False,False,True,,7,?
414,alpraz,alprazolam,False,False,True,,1,True
415,alpram,alprazolam,False,False,True,,2,True
416,alprozolam,alprazolam,alprazolam,True,True,,4,True
417,aprozalam,alprazolam,False,False,True,,2,True
418,xanor,alprazolam,alprazolam,True,True,,2,True
419,alfrazolam,alprazolam,False,False,True,,2,True
420,alprazolam,alprazolam,alprazolam,True,True,,1,True
421,alfra,alprazolam,False,False,False,,-1,False
422,alpram,alprazolam,False,False,True,,2,True
423,alpron,alprazolam,False,False,True, pill,10,True
424,ralozam,alprazolam,False,False,True,,3,True
425,zanapam,alprazolam,False,False,True,,8,True
426,trankimazin,alprazolam,False,False,True,,5,True
427,xanax,alprazolam,alprazolam,True,True,,1,True
428,leiden,alprazolam,False,False,False,,-1,False
429,xavix,alprazolam,False,False,False,,-1,False
430,neopraz,alprazolam,False,False,False,,-1,False
431,neoprozole,alprazolam,False,False,False,,-1,False
432,npraz,alprazolam,False,False,False,,-1,False
433,apraz,alprazolam,ibuprofen,False,True, pill,4,True
434,zolam,alprazolam,False,False,True,,2,True
435,azapirones,alprazolam,False,False,False,,-1,False
436,benzodiazepines,alprazolam,benzodiazepine,False,True, pill,1,?
437,buspirone,alprazolam,buspirone,False,False,,-1,False
438,citalopram,alprazolam,citalopram,False,True, slang,9,False
439,clonazepam,alprazolam,clonazepam,False,True,,21,False
440,diazepam,alprazolam,diazepam,False,True, drug,6,False
441,fluoxetine,alprazolam,fluoxetine,False,False,,-1,False
442,gabapentin,alprazolam,gabapentin,False,False,,-1,False
443,hydroxyzine,alprazolam,hydroxyzine,False,False,,-1,False
444,lorazepam,alprazolam,lorazepam,False,False,,-1,False
445,oxazepam,alprazolam,oxazepam,False,False,,-1,False
446,propranolol,alprazolam,propranolol,False,False,,-1,False
447,sertraline,alprazolam,sertraline,False,True, pill,27,False
448,tricyclic_antidepressants,alprazolam,False,False,False,,-1,False
449,venlafaxine,alprazolam,venlafaxine,False,False,,-1,False
450,zolpidem,alprazolam,zolpidem,False,False,,-1,False
451,paxir,alprazolam,False,False,False,,-1,False
452,selzentry,alprazolam,maraviroc,False,False,,-1,False
453,xanafil,alprazolam,False,False,False,,-1,False
454,zanamivir,alprazolam,zanamivir,False,False,,-1,False
455,triazolam,alprazolam,triazolam,False,True, pill,11,False
456,halcion,alprazolam,triazolam,False,False,,-1,False
457,restoril,alprazolam,temazepam,False,True, pill,15,False
458,ativan,alprazolam,lorazepam,False,False,,-1,False
459,klonopin,alprazolam,clonazepam,False,True,,14,False
460,valium,alprazolam,diazepam,False,True,,9,False
461,xanax,alprazolam,alprazolam,True,True,,1,True
462,alprazolamum,alprazolam,False,False,True,,4,True
463,alprazolans,alprazolam,False,False,True,,2,True
464,z-bars,alprazolam,False,False,True,,8,True
465,zanax,alprazolam,alprazolam,True,True,,8,True
466,neazolam,alprazolam,False,False,False,,-1,False
467,zanbar,alprazolam,False,False,True, pill,4,True
468,alazolam,alprazolam,False,False,True,,1,True
469,alprozam,alprazolam,alprazolam,True,True,,8,True
470,atarax,alprazolam,hydroxyzine,False,True, pill,6,False
471,alprazolan,alprazolam,alprazolam,True,True,,7,True
472,alprazlom,alprazolam,False,False,True,,1,True
473,alprazomil,alprazolam,False,False,False,,-1,False
474,alprazonil,alprazolam,False,False,False,,-1,False
475,alprazopal,alprazolam,False,False,False,,-1,False
476,alprazoram,alprazolam,False,False,True,,1,True
477,alprazoxan,alprazolam,False,False,False,,-1,False
478,xanax,alprazolam,alprazolam,True,True,,1,True
479,zoloft,alprazolam,sertraline,False,False,,-1,False
480,valium,alprazolam,diazepam,False,True,,9,False
481,lorazepam,alprazolam,lorazepam,False,False,,-1,False
482,ativan,alprazolam,lorazepam,False,False,,-1,False
483,klonopin,alprazolam,clonazepam,False,True,,14,False
484,restoril,alprazolam,temazepam,False,True, pill,15,False
485,phenobarbital,alprazolam,phenobarbital,False,True, slang,30,False
486,xanax,alprazolam,alprazolam,True,True,,1,True
487,ativan,alprazolam,lorazepam,False,False,,-1,False
488,klonopin,alprazolam,clonazepam,False,True,,14,False
489,valium,alprazolam,diazepam,False,True,,9,False
490,librium,alprazolam,chlordiazepoxide,False,True,,23,False
491,tranxene,alprazolam,clorazepate,False,True, pill,28,False
492,benzodiazepine,alprazolam,benzodiazepine,False,True,,4,?
493,xanax,alprazolam,alprazolam,True,True,,1,True
494,aprozalam,alprazolam,False,False,True,,2,True
495,alprazolan,alprazolam,alprazolam,True,True,,7,True
496,alprazom,alprazolam,False,False,True,,1,True
497,alprazlam,alprazolam,False,False,True,,3,True
498,alpralid,alprazolam,False,False,True,,2,True
499,trankimazin,alprazolam,False,False,True,,5,True
500,zapizolam,alprazolam,False,False,True,,20,False
501,talazolam,alprazolam,False,False,False,,-1,False
502,triazolam,alprazolam,triazolam,False,True, pill,11,False
503,Agynix,alprazolam,False,False,False,,-1,False
504,xanor,alprazolam,alprazolam,True,True,,2,True
505,neosar,alprazolam,False,False,False,,-1,False
506,ativan,alprazolam,lorazepam,False,False,,-1,False
507,klonopin,alprazolam,clonazepam,False,True,,14,False
508,valium,alprazolam,diazepam,False,True,,9,False
509,librium,alprazolam,chlordiazepoxide,False,True,,23,False
510,serax,alprazolam,oxazepam,False,False,,-1,False
511,alprazolamum,alprazolam,False,False,True,,4,True
512,alprazolan,alprazolam,alprazolam,True,True,,7,True
513,alzolam,alprazolam,False,False,True,,5,True
